points,positive,starter,turnover,ast,blk,reb_d,eff,efgp,reb_o,pfoul,name_alt,player_id,name,jersey,stl,reb,tsp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
26,-3,〇,6,8,0,6,25,66.67%,0,2,塔克,86,塔克,55,1,6,67.29%,35:54,8,3-8,37.5%,8,6-10,60%,3,2-3,66.67%
,,,,,,,,,,,關達祐,58,關達祐,6,,,,DNP,,,,,,,,,
5,-3,〇,2,2,0,3,6,37.5%,0,1,周儀翔,262,周儀翔,0,1,3,51.23%,21:31,1,0-1,0%,1,1-3,33.33%,2,2-2,100%
12,-3,〇,0,2,1,4,19,80%,1,2,丁恩迪,293,丁恩迪,1,2,5,83.33%,35:54,3,1-3,33.33%,3,2-2,100%,5,4-5,80%
,,,,,,,,,,,林子洧,294,林子洧,10,,,,DNP,,,,,,,,,
0,0,,0,0,0,0,0,0%,0,1,張鎮衙,297,張鎮衙,27,0,0,0%,02:50,0,0-0,0%,0,0-0,0%,0,0-0,0%
0,-7,,1,5,0,1,4,0%,1,1,白曜誠,298,白曜誠,30,1,2,0%,12:06,2,0-2,0%,2,0-1,0%,0,0-0,0%
18,-22,,3,2,0,2,16,80%,0,3,沃許本,299,沃許本,42,1,2,79.51%,26:08,7,5-7,71.43%,7,2-3,66.67%,3,2-3,66.67%
25,5,〇,3,1,0,5,26,62.5%,5,3,密克斯,364,密克斯,5,1,10,62.5%,33:58,15,11-15,73.33%,15,1-5,20%,0,0-0,0%
,,,,,,,,,,,喬楚瑜,365,喬楚瑜,7,,,,DNP,,,,,,,,,
14,-7,〇,1,4,0,2,19,75%,3,2,李家慷,218,李家慷,12,2,5,71.72%,36:10,4,3-4,75%,4,2-4,50%,4,2-4,50%
,,,,,,,,,,,林正,64,林正,25,,,,DNP,,,,,,,,,
8,-13,,1,0,0,3,5,62.5%,0,3,陳昱瑞,219,陳昱瑞,2,0,3,60.24%,15:44,1,1-1,100%,1,1-3,33.33%,6,3-6,50%
5,3,,0,1,0,1,3,25%,0,0,盧峻翔,226,盧峻翔,69,1,1,36.34%,19:45,3,0-3,0%,3,1-3,33.33%,2,2-2,100%
