points,positive,starter,turnover,ast,blk,reb_d,eff,efgp,reb_o,pfoul,name_alt,player_id,name,jersey,stl,reb,tsp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
10,4,,0,4,0,5,15,33.33%,2,1,楊敬敏,87,楊敬敏,6,0,7,46.47%,22:57,5,3-5,60%,5,0-4,0%,4,4-4,100%
5,-9,,0,0,0,2,7,83.33%,0,4,王柏智,89,王柏智,11,1,2,83.33%,15:03,1,1-1,100%,1,1-2,50%,0,0-0,0%
,,,,,,,,,,,林力仁,76,林力仁,72,,,,DNP,,,,,,,,,
13,-1,〇,6,6,1,7,11,28.95%,2,4,林書緯,41,林書緯,1,2,9,32.7%,36:43,14,4-14,28.57%,14,1-5,20%,2,2-2,100%
8,-15,〇,5,3,0,4,2,23.08%,0,4,曼尼高,337,曼尼高,55,4,4,27.1%,24:16,8,3-8,37.5%,8,0-5,0%,4,2-4,50%
19,1,,2,1,1,7,20,59.09%,0,2,海登,379,海登,0,1,7,67.47%,32:10,6,2-6,33.33%,6,3-5,60%,7,6-7,85.71%
0,0,,2,1,1,0,-3,0%,0,0,李威廷,288,李威廷,4,1,0,0%,12:10,1,0-1,0%,1,0-3,0%,0,0-0,0%
4,11,〇,2,0,0,2,2,40%,0,4,蘇士軒,290,蘇士軒,17,1,2,40%,23:09,3,2-3,66.67%,3,0-2,0%,0,0-0,0%
,,,,,,,,,,,蘇培凱,380,蘇培凱,2,,,,DNP,,,,,,,,,
0,0,,1,0,0,0,-1,0%,0,0,林金榜,263,林金榜,19,0,0,0%,00:20,0,0-0,0%,0,0-0,0%,0,0-0,0%
6,5,,1,0,2,3,5,50%,0,2,戴維斯,69,戴維斯,50,0,3,43.6%,21:44,3,3-3,100%,3,0-3,0%,2,0-2,0%
5,-24,〇,0,0,0,3,5,35.71%,0,1,李愷諺,233,李愷諺,9,2,3,35.71%,23:16,4,1-4,25%,4,1-3,33.33%,0,0-0,0%
,,,,,,,,,,,簡祐哲,234,簡祐哲,10,,,,DNP,,,,,,,,,
17,-7,〇,1,0,0,2,19,71.43%,5,1,安尼奎,398,安尼奎,33,1,7,74.56%,28:12,6,5-6,83.33%,6,0-1,0%,10,7-10,70%
