points,positive,starter,turnover,ast,blk,reb_d,eff,efgp,reb_o,pfoul,name_alt,player_id,name,jersey,stl,reb,tsp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
,,,,,,,,,,,王柏智,89,王柏智,11,,,,DNP,,,,,,,,,
0,3,,0,0,0,0,-2,0%,0,1,林力仁,76,林力仁,72,0,0,0%,04:40,0,0-0,0%,0,0-2,0%,0,0-0,0%
19,13,〇,4,5,3,2,21,53.13%,0,1,林書緯,41,林書緯,1,5,2,56.28%,35:39,7,4-7,57.14%,7,3-9,33.33%,2,2-2,100%
10,-7,〇,0,2,1,7,15,32.14%,5,1,牧倫斯,265,牧倫斯,5,0,12,34.63%,29:49,9,3-9,33.33%,9,1-5,20%,1,1-1,100%
,,,,,,,,,,,翟振皓,381,翟振皓,49,,,,DNP,,,,,,,,,
11,9,〇,1,6,0,7,21,38.46%,2,2,曼尼高,337,曼尼高,55,5,9,39.63%,34:18,9,5-9,55.56%,9,0-4,0%,2,1-2,50%
0,0,,1,0,0,1,0,0%,0,1,蘇士軒,290,蘇士軒,17,0,1,0%,05:10,0,0-0,0%,0,0-0,0%,0,0-0,0%
21,8,〇,7,6,1,5,19,44.12%,2,2,林書豪,354,林書豪,7,3,7,53.46%,37:35,8,0-8,0%,8,5-9,55.56%,6,6-6,100%
0,-2,,0,2,0,0,1,0%,0,0,林金榜,263,林金榜,19,0,0,0%,04:17,1,0-1,0%,1,0-0,0%,0,0-0,0%
18,-10,〇,4,2,1,1,14,75%,0,3,李愷諺,233,李愷諺,9,1,1,75%,29:55,3,3-3,100%,3,4-9,44.44%,0,0-0,0%
6,-5,,1,0,0,2,6,50%,2,0,陳俊男,232,陳俊男,3,0,4,50%,11:37,4,3-4,75%,4,0-2,0%,0,0-0,0%
5,12,,1,2,0,2,7,83.33%,0,1,簡祐哲,234,簡祐哲,10,0,2,83.33%,16:05,1,1-1,100%,1,1-2,50%,0,0-0,0%
0,0,,1,0,0,0,-1,0%,0,0,洪志善,237,洪志善,24,0,0,0%,03:19,0,0-0,0%,0,0-0,0%,0,0-0,0%
6,14,,0,0,0,4,12,33.33%,6,1,安尼奎,398,安尼奎,33,2,10,38.66%,27:36,6,2-6,33.33%,6,0-0,0%,4,2-4,50%
