points,positive,starter,turnover,ast,blk,reb_d,eff,efgp,reb_o,pfoul,name_alt,player_id,name,jersey,stl,reb,tsp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
9,8,,4,5,0,2,7,45%,0,3,賴廷恩,40,賴廷恩,0,2,2,45%,25:02,1,0-1,0%,1,3-9,33.33%,0,0-0,0%
4,-1,〇,1,3,1,4,11,20%,1,3,周桂羽,46,周桂羽,8,3,5,34.01%,27:36,3,1-3,33.33%,3,0-2,0%,2,2-2,100%
8,5,〇,0,1,0,5,12,42.86%,3,1,曾祥鈞,52,曾祥鈞,21,0,8,48.08%,24:12,6,3-6,50%,6,0-1,0%,3,2-3,66.67%
0,-3,,0,0,0,0,0,0%,0,0,蔡文誠,50,蔡文誠,14,0,0,0%,04:30,0,0-0,0%,0,0-0,0%,0,0-0,0%
9,-6,,1,1,0,3,11,75%,1,3,石博恩,53,石博恩,23,1,4,75%,16:05,1,0-1,0%,1,3-5,60%,0,0-0,0%
27,-4,〇,3,3,0,2,19,42.11%,4,5,賽爾登,410,賽爾登,4,0,6,55.6%,41:47,9,2-9,22.22%,9,4-10,40%,12,11-12,91.67%
0,-2,,0,1,0,0,-1,0%,0,1,陳范柏彥,270,陳范柏彥,1,0,0,0%,05:38,1,0-1,0%,1,0-1,0%,0,0-0,0%
19,4,〇,4,5,1,16,30,53.57%,2,3,強森,269,強森,5,0,18,60.28%,32:44,3,0-3,0%,3,5-11,45.45%,4,4-4,100%
0,-3,,0,0,0,1,1,0%,0,0,謝宗融,274,謝宗融,15,0,1,0%,01:30,0,0-0,0%,0,0-0,0%,0,0-0,0%
2,-6,〇,1,2,0,1,2,33.33%,0,1,簡廷兆,275,簡廷兆,24,0,1,33.33%,16:36,1,1-1,100%,1,0-2,0%,0,0-0,0%
6,-16,,3,0,1,6,4,33.33%,0,2,塞瑟夫,54,塞瑟夫,32,0,6,38.66%,21:29,3,2-3,66.67%,3,0-3,0%,4,2-4,50%
0,-10,,0,1,0,0,-1,0%,0,1,張宗憲,43,張宗憲,3,0,0,0%,07:57,2,0-2,0%,2,0-0,0%,0,0-0,0%
0,-1,,0,0,1,2,2,0%,0,1,洪楷傑,235,洪楷傑,11,0,2,0%,05:21,0,0-0,0%,0,0-1,0%,0,0-0,0%
7,-5,,2,0,0,1,6,87.5%,0,1,吳永盛,229,吳永盛,6,1,1,87.5%,09:33,2,2-2,100%,2,1-2,50%,0,0-0,0%
