points,positive,starter,turnover,ast,blk,reb_d,eff,efgp,reb_o,pfoul,name_alt,player_id,name,jersey,stl,reb,tsp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
,,,,,,,,,,,丁冠皓,375,丁冠皓,10,,,,DNP,,,,,,,,,
21,17,〇,2,13,0,5,27,47.37%,0,2,林俊吉,90,林俊吉,11,3,5,50.58%,33:18,10,3-10,30%,10,4-9,44.44%,4,3-4,75%
11,8,,0,0,0,2,10,75%,0,0,陳振傑,148,陳振傑,0,0,2,79.94%,15:42,2,0-2,0%,2,3-4,75%,2,2-2,100%
,,,,,,,,,,,楊盛硯,93,楊盛硯,18,,,,DNP,,,,,,,,,
,,,,,,,,,,,吳松蔚,95,吳松蔚,30,,,,DNP,,,,,,,,,
2,-5,,0,1,0,1,2,16.67%,3,2,吳家駿,215,吳家駿,3,0,4,16.67%,24:29,6,1-6,16.67%,6,0-0,0%,0,0-0,0%
8,14,〇,1,1,0,1,6,66.67%,0,1,盧冠良,278,盧冠良,28,0,1,66.67%,23:55,2,1-2,50%,2,2-4,50%,0,0-0,0%
,,,,,,,,,,,周柏臣,279,周柏臣,88,,,,DNP,,,,,,,,,
3,7,〇,1,1,0,0,1,30%,1,5,錢肯尼,149,錢肯尼,23,1,1,30%,20:48,2,0-2,0%,2,1-3,33.33%,0,0-0,0%
10,7,,0,1,0,7,13,58.33%,0,4,忻沃克,155,忻沃克,24,0,7,60.98%,25:53,3,2-3,66.67%,3,1-3,33.33%,5,3-5,60%
4,3,〇,2,0,2,9,13,25%,4,4,吉爾貝克,212,吉爾貝克,34,1,13,34.72%,25:31,4,1-4,25%,4,0-0,0%,4,2-4,50%
,,,,,,,,,,,王振原,227,王振原,8,,,,DNP,,,,,,,,,
21,4,,3,4,0,5,26,66.67%,5,4,布依德,213,布依德,42,1,10,66.12%,31:46,12,7-12,58.33%,12,2-3,66.67%,2,1-2,50%
40,25,〇,5,1,2,14,48,73.91%,4,3,麥卡洛,253,麥卡洛,5,2,18,75.41%,38:38,15,11-15,73.33%,15,4-8,50%,8,6-8,75%
