points,positive,starter,turnover,ast,blk,reb_d,eff,efgp,reb_o,pfoul,name_alt,player_id,name,jersey,stl,reb,tsp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
16,5,,2,3,0,1,12,65%,0,2,楊敬敏,87,楊敬敏,6,0,1,68.03%,27:22,5,2-5,40%,5,3-5,60%,4,3-4,75%
8,-6,,2,2,1,3,10,80%,0,2,王柏智,89,王柏智,11,0,3,80%,22:18,1,1-1,100%,1,2-4,50%,0,0-0,0%
,,,,,,,,,,,林力仁,76,林力仁,72,,,,DNP,,,,,,,,,
19,10,〇,2,7,0,7,25,60.71%,0,0,林書緯,41,林書緯,1,0,7,63.84%,37:43,8,7-8,87.5%,8,1-6,16.67%,2,2-2,100%
18,4,〇,2,0,0,2,20,75%,5,4,米歇爾,382,米歇爾,14,0,7,75%,26:26,12,9-12,75%,12,0-0,0%,0,0-0,0%
11,8,,3,3,1,8,13,44.44%,2,3,海登,379,海登,0,0,10,47.25%,24:11,3,1-3,33.33%,3,2-6,33.33%,6,3-6,50%
8,4,〇,0,0,0,1,4,50%,0,2,李威廷,288,李威廷,4,0,1,50%,18:27,2,1-2,50%,2,2-6,33.33%,0,0-0,0%
5,16,,0,0,0,2,6,62.5%,1,3,蘇士軒,290,蘇士軒,17,0,3,62.5%,16:36,3,1-3,33.33%,3,1-1,100%,0,0-0,0%
,,,,,,,,,,,蘇培凱,380,蘇培凱,2,,,,DNP,,,,,,,,,
4,5,〇,1,3,0,1,5,33.33%,1,2,李愷諺,233,李愷諺,9,1,2,33.33%,26:00,4,2-4,50%,4,0-2,0%,0,0-0,0%
,,,,,,,,,,,陳俊男,232,陳俊男,3,,,,DNP,,,,,,,,,
,,,,,,,,,,,簡祐哲,234,簡祐哲,10,,,,DNP,,,,,,,,,
0,1,,2,2,0,0,0,0%,0,0,洪志善,237,洪志善,24,1,0,0%,10:17,0,0-0,0%,0,0-1,0%,0,0-0,0%
5,8,〇,1,2,1,12,18,20%,3,2,安尼奎,398,安尼奎,33,2,15,34.72%,30:40,5,1-5,20%,5,0-0,0%,5,3-5,60%
