points,positive,starter,turnover,ast,blk,reb_d,eff,efgp,reb_o,pfoul,name_alt,player_id,name,jersey,stl,reb,tsp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
16,1,〇,2,6,0,5,14,40%,1,4,高國豪,84,高國豪,4,1,6,40%,36:36,12,5-12,41.67%,12,2-8,25%,0,0-0,0%
3,-1,,0,0,0,0,2,75%,0,1,李家瑞,79,李家瑞,12,0,0,75%,04:27,0,0-0,0%,0,1-2,50%,0,0-0,0%
2,5,〇,1,1,0,2,1,16.67%,1,2,蕭順議,80,蕭順議,11,1,3,16.67%,25:19,4,1-4,25%,4,0-2,0%,0,0-0,0%
3,-5,,1,3,0,0,3,50%,0,0,田浩,82,田浩,9,0,0,50%,09:06,2,0-2,0%,2,1-1,100%,0,0-0,0%
,,,,,,,,,,,施顏宗,214,施顏宗,1,,,,DNP,,,,,,,,,
15,10,〇,1,0,0,7,19,45.45%,9,3,霍立飛,407,霍立飛,55,0,16,48.7%,25:55,11,5-11,45.45%,11,0-0,0%,10,5-10,50%
7,6,〇,2,1,0,1,5,58.33%,0,1,盧冠軒,399,盧冠軒,42,1,1,58.33%,23:45,3,2-3,66.67%,3,1-3,33.33%,0,0-0,0%
8,-10,,2,4,0,2,8,28.57%,0,3,曾柏喻,301,曾柏喻,7,1,2,45.66%,24:40,5,2-5,40%,5,0-2,0%,4,4-4,100%
2,1,,1,1,0,0,3,50%,0,0,張傑瑋,282,張傑瑋,0,2,0,50%,05:28,2,1-2,50%,2,0-0,0%,0,0-0,0%
0,-1,,0,0,0,1,1,0%,0,1,王子綱,368,王子綱,3,0,1,0%,00:57,0,0-0,0%,0,0-0,0%,0,0-0,0%
7,-12,,2,1,0,1,5,62.5%,1,3,朱雲豪,223,朱雲豪,8,0,2,65.79%,18:09,1,1-1,100%,1,1-3,33.33%,3,2-3,66.67%
21,-5,〇,2,4,3,10,26,50%,0,3,克拉,369,克拉,6,1,10,52.82%,39:45,11,5-11,45.45%,11,3-8,37.5%,2,2-2,100%
13,-14,,1,2,1,8,22,59.09%,4,5,狄帝,403,狄帝,21,2,12,54.71%,25:53,8,5-8,62.5%,8,1-3,33.33%,2,0-2,0%
,,,,,,,,,,,周伯勳,371,周伯勳,20,,,,DNP,,,,,,,,,
