points,positive,starter,turnover,ast,blk,reb_d,eff,efgp,reb_o,pfoul,name_alt,player_id,name,jersey,stl,reb,tsp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
3,-19,〇,3,3,0,1,-5,15%,0,1,高國豪,84,高國豪,4,0,1,15%,27:46,4,0-4,0%,4,1-6,16.67%,0,0-0,0%
5,-20,〇,1,1,0,0,4,50%,0,3,蕭順議,80,蕭順議,11,1,0,56.31%,11:38,3,2-3,66.67%,3,0-1,0%,1,1-1,100%
,,,,,,,,,,,田浩,82,田浩,9,,,,DNP,,,,,,,,,
3,2,,2,0,0,3,5,50%,2,1,施顏宗,214,施顏宗,1,1,5,50%,15:17,0,0-0,0%,0,1-3,33.33%,0,0-0,0%
11,-13,,0,1,2,4,18,66.67%,3,2,霍立飛,407,霍立飛,55,2,7,63.66%,17:38,6,4-6,66.67%,6,0-0,0%,6,3-6,50%
8,-7,,0,0,0,0,5,57.14%,0,0,盧冠軒,399,盧冠軒,42,1,0,57.14%,25:27,1,1-1,100%,1,2-6,33.33%,0,0-0,0%
2,2,,0,0,0,0,1,100%,0,0,姜廣謙,300,姜廣謙,2,0,0,69.44%,01:20,1,1-1,100%,1,0-0,0%,1,0-1,0%
12,8,,3,5,0,2,14,44.44%,1,0,曾柏喻,301,曾柏喻,7,2,3,55.76%,25:05,8,4-8,50%,8,0-1,0%,4,4-4,100%
4,4,,1,3,0,0,8,40%,1,3,張傑瑋,282,張傑瑋,0,4,1,40%,13:21,5,2-5,40%,5,0-0,0%,0,0-0,0%
6,-15,〇,2,6,0,5,2,6.67%,0,4,艾夫伯,405,艾夫伯,24,2,5,17.44%,29:55,7,1-7,14.29%,7,0-8,0%,5,4-5,80%
2,2,,0,0,0,0,1,33.33%,0,0,王子綱,368,王子綱,3,1,0,33.33%,05:51,2,1-2,50%,2,0-1,0%,0,0-0,0%
11,-6,,1,1,1,0,7,61.11%,0,2,朱雲豪,223,朱雲豪,8,0,0,61.11%,26:36,3,1-3,33.33%,3,3-6,50%,0,0-0,0%
15,-3,〇,0,0,1,9,28,70%,5,2,狄帝,403,狄帝,21,1,14,71.84%,30:22,7,7-7,100%,7,0-3,0%,1,1-1,100%
3,-15,〇,0,1,0,1,6,33.33%,3,1,周伯勳,371,周伯勳,20,0,4,43.6%,09:44,3,1-3,33.33%,3,0-0,0%,1,1-1,100%
