points,positive,starter,turnover,ast,blk,reb_d,eff,efgp,reb_o,pfoul,name_alt,player_id,name,jersey,stl,reb,tsp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
10,-4,〇,3,5,0,3,16,100%,0,2,關達祐,58,關達祐,6,1,3,105.04%,25:19,3,3-3,100%,3,0-0,0%,4,4-4,100%
16,13,,2,7,0,1,16,58.33%,0,2,周儀翔,262,周儀翔,0,1,1,62.11%,30:12,2,1-2,50%,2,4-10,40%,2,2-2,100%
0,-11,〇,0,0,0,0,-1,0%,0,0,林子洧,294,林子洧,10,0,0,0%,05:55,1,0-1,0%,1,0-0,0%,0,0-0,0%
7,11,,0,1,0,4,8,100%,0,2,張鎮衙,297,張鎮衙,27,0,4,73.53%,15:16,0,0-0,0%,0,2-3,66.67%,4,1-4,25%
23,16,〇,2,2,0,9,27,47.37%,4,0,沃許本,299,沃許本,42,2,13,53.14%,38:55,18,9-18,50%,18,0-1,0%,6,5-6,83.33%
8,22,,1,1,2,6,12,41.67%,0,1,伯朗,252,伯朗,21,0,6,54.64%,26:58,3,1-3,33.33%,3,1-3,33.33%,3,3-3,100%
12,-6,〇,4,1,2,7,17,46.15%,4,2,密克斯,364,密克斯,5,2,11,46.15%,28:09,12,6-12,50%,12,0-1,0%,0,0-0,0%
0,-2,,0,0,0,0,0,0%,0,0,喬楚瑜,365,喬楚瑜,7,0,0,0%,01:58,0,0-0,0%,0,0-0,0%,0,0-0,0%
0,-2,,0,0,0,0,0,0%,0,1,陳昱翰,409,陳昱翰,8,0,0,0%,02:33,0,0-0,0%,0,0-0,0%,0,0-0,0%
4,15,,1,1,0,1,5,100%,0,0,李學林,406,李學林,9,0,1,100%,10:28,2,2-2,100%,2,0-0,0%,0,0-0,0%
,,,,,,,,,,,林正,64,林正,25,,,,DNP,,,,,,,,,
3,21,,1,3,0,4,6,25%,0,2,陳昱瑞,219,陳昱瑞,2,1,4,30.74%,17:59,2,1-2,50%,2,0-2,0%,2,1-2,50%
29,2,〇,1,3,0,3,29,69.44%,1,2,盧峻翔,226,盧峻翔,69,3,4,70.25%,36:18,13,8-13,61.54%,13,3-5,60%,6,4-6,66.67%
