points,positive,starter,turnover,ast,blk,reb_d,eff,efgp,reb_o,pfoul,name_alt,player_id,name,jersey,stl,reb,tsp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
,,,,,,,,,,,丁冠皓,375,丁冠皓,10,,,,DNP,,,,,,,,,
27,-11,〇,5,8,0,1,24,78.13%,1,3,林俊吉,90,林俊吉,11,0,2,76.01%,40:21,6,5-6,83.33%,6,5-10,50%,4,2-4,50%
,,,,,,,,,,,楊盛硯,93,楊盛硯,18,,,,DNP,,,,,,,,,
,,,,,,,,,,,吳松蔚,95,吳松蔚,30,,,,DNP,,,,,,,,,
1,4,,1,3,0,2,3,0%,0,1,吳家駿,215,吳家駿,3,0,2,26.6%,12:39,0,0-0,0%,0,0-1,0%,2,1-2,50%
,,,,,,,,,,,林耀宗,59,林耀宗,7,,,,DNP,,,,,,,,,
17,-6,〇,0,4,0,6,24,85%,0,0,盧冠良,278,盧冠良,28,1,6,85%,37:02,3,1-3,33.33%,3,5-7,71.43%,0,0-0,0%
,,,,,,,,,,,周柏臣,279,周柏臣,88,,,,DNP,,,,,,,,,
3,-18,,2,4,0,3,6,50%,0,5,錢肯尼,149,錢肯尼,23,0,3,50%,28:48,1,0-1,0%,1,1-2,50%,0,0-0,0%
0,20,〇,0,0,0,0,-2,0%,1,1,忻沃克,155,忻沃克,24,0,1,0%,12:49,1,0-1,0%,1,0-2,0%,0,0-0,0%
3,-10,,2,0,1,4,3,30%,1,2,簡浩,222,簡浩,21,0,5,30%,27:21,0,0-0,0%,0,1-5,20%,0,0-0,0%
12,8,〇,3,0,4,2,11,33.33%,2,5,吉爾貝克,212,吉爾貝克,34,0,4,57.69%,32:03,6,2-6,33.33%,6,0-0,0%,10,8-10,80%
6,-17,,7,0,2,8,9,62.5%,1,5,布依德,213,布依德,42,2,9,61.48%,29:48,2,1-2,50%,2,1-2,50%,2,1-2,50%
35,-5,〇,5,4,0,14,30,48.39%,2,1,麥卡洛,253,麥卡洛,5,2,16,50.7%,44:09,15,6-15,40%,15,6-16,37.5%,8,5-8,62.5%
