points,positive,starter,turnover,ast,blk,reb_d,eff,efgp,reb_o,pfoul,name_alt,player_id,name,jersey,stl,reb,tsp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
5,-1,〇,0,8,0,3,10,31.25%,0,2,林俊吉,90,林俊吉,11,0,3,31.25%,32:11,5,1-5,20%,5,1-3,33.33%,0,0-0,0%
0,-3,,0,0,0,2,-2,0%,0,3,李德威,94,李德威,26,0,2,0%,17:43,1,0-1,0%,1,0-3,0%,0,0-0,0%
10,-4,,0,1,0,3,12,71.43%,1,2,陳振傑,148,陳振傑,0,0,4,71.43%,16:53,4,2-4,50%,4,2-3,66.67%,0,0-0,0%
,,,,,,,,,,,吳松蔚,95,吳松蔚,30,,,,DNP,,,,,,,,,
,,,,,,,,,,,吳家駿,215,吳家駿,3,,,,DNP,,,,,,,,,
,,,,,,,,,,,林耀宗,59,林耀宗,7,,,,DNP,,,,,,,,,
7,-6,,1,1,0,2,4,33.33%,0,3,德文馬布爾,401,德文馬布爾,4,1,2,37.08%,18:51,5,3-5,60%,5,0-4,0%,1,1-1,100%
6,3,〇,2,0,0,3,3,42.86%,0,2,盧冠良,278,盧冠良,28,1,3,42.86%,27:40,2,0-2,0%,2,2-5,40%,0,0-0,0%
,,,,,,,,,,,周柏臣,279,周柏臣,88,,,,DNP,,,,,,,,,
0,-2,,0,0,0,0,-2,0%,0,1,錢肯尼,149,錢肯尼,23,0,0,0%,03:20,1,0-1,0%,1,0-1,0%,0,0-0,0%
17,1,〇,3,2,0,5,17,75%,0,2,忻沃克,155,忻沃克,24,1,5,75.09%,37:42,5,3-5,60%,5,3-5,60%,3,2-3,66.67%
0,-6,,0,1,0,0,-1,0%,0,1,簡浩,222,簡浩,21,0,0,0%,08:31,1,0-1,0%,1,0-1,0%,0,0-0,0%
22,3,〇,0,3,0,10,30,62.5%,2,6,布依德,213,布依德,42,3,12,60.44%,36:48,13,7-13,53.85%,13,2-3,66.67%,5,2-5,40%
18,-5,〇,2,3,1,11,23,45%,2,3,麥卡洛,253,麥卡洛,5,1,13,45%,40:21,14,9-14,64.29%,14,0-6,0%,0,0-0,0%
