points,positive,starter,turnover,ast,blk,reb_d,eff,efgp,reb_o,pfoul,name_alt,player_id,name,jersey,stl,reb,tsp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
23,12,〇,3,8,0,4,25,52.63%,2,2,高國豪,84,高國豪,4,0,6,56.59%,42:28,15,10-15,66.67%,15,0-4,0%,3,3-3,100%
5,15,〇,1,1,1,2,9,125%,0,3,李家瑞,79,李家瑞,12,1,2,125%,13:04,1,1-1,100%,1,1-1,100%,0,0-0,0%
6,9,〇,4,1,0,2,8,50%,3,5,蕭順議,80,蕭順議,11,4,5,51.02%,26:15,4,1-4,25%,4,1-1,100%,2,1-2,50%
,,,,,,,,,,,田浩,82,田浩,9,,,,DNP,,,,,,,,,
0,-2,,0,0,0,0,0,0%,0,0,施顏宗,214,施顏宗,1,0,0,0%,00:43,0,0-0,0%,0,0-0,0%,0,0-0,0%
9,-14,,3,1,1,5,9,50%,3,3,霍立飛,407,霍立飛,55,0,8,53.57%,23:09,4,2-4,50%,4,0-0,0%,10,5-10,50%
5,-4,,0,0,0,0,4,50%,1,0,盧冠軒,399,盧冠軒,42,0,1,64.43%,14:51,1,0-1,0%,1,1-2,50%,2,2-2,100%
,,,,,,,,,,,姜廣謙,300,姜廣謙,2,,,,DNP,,,,,,,,,
4,-6,,1,0,0,1,3,50%,0,2,曾柏喻,301,曾柏喻,7,0,1,69.44%,10:04,2,1-2,50%,2,0-0,0%,2,2-2,100%
24,15,〇,3,6,1,6,27,58.33%,2,1,艾夫伯,405,艾夫伯,24,0,8,62.11%,35:41,12,6-12,50%,12,3-6,50%,3,3-3,100%
6,-6,,1,2,0,1,7,100%,0,1,王子綱,368,王子綱,3,0,1,100%,12:36,0,0-0,0%,0,2-3,66.67%,0,0-0,0%
0,-1,,1,0,0,0,-4,0%,0,2,朱雲豪,223,朱雲豪,8,0,0,0%,08:46,0,0-0,0%,0,0-3,0%,0,0-0,0%
21,13,〇,2,3,5,11,25,40.91%,1,2,克拉,369,克拉,6,1,12,45.03%,37:10,15,3-15,20%,15,4-7,57.14%,3,3-3,100%
2,4,,3,0,1,1,-1,50%,0,3,周伯勳,371,周伯勳,20,0,1,40.98%,15:13,1,1-1,100%,1,0-1,0%,1,0-1,0%
