points,positive,starter,turnover,ast,blk,reb_d,eff,efgp,reb_o,pfoul,name_alt,player_id,name,jersey,stl,reb,tsp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
13,-12,〇,1,6,0,4,21,54.55%,2,0,塔克,86,塔克,55,3,6,56.82%,34:32,3,3-3,100%,3,2-8,25%,1,1-1,100%
2,4,,0,0,0,1,1,0%,1,1,關達祐,58,關達祐,6,1,2,20.49%,04:41,3,0-3,0%,3,0-1,0%,2,2-2,100%
0,-4,,0,1,0,0,1,0%,1,2,林子洧,294,林子洧,10,0,1,0%,05:38,1,0-1,0%,1,0-0,0%,0,0-0,0%
3,-3,,1,1,1,1,3,37.5%,1,1,張鎮衙,297,張鎮衙,27,0,2,37.5%,16:23,0,0-0,0%,0,1-4,25%,0,0-0,0%
2,-8,,0,2,0,0,2,33.33%,0,1,白曜誠,298,白曜誠,30,2,0,25.77%,20:10,3,1-3,33.33%,3,0-0,0%,2,0-2,0%
22,-18,〇,3,0,1,6,23,50%,7,0,沃許本,299,沃許本,42,2,13,50.55%,37:41,19,10-19,52.63%,19,0-1,0%,4,2-4,50%
7,4,,3,0,0,7,2,23.33%,3,4,伯朗,252,伯朗,21,0,10,23.33%,23:47,9,2-9,22.22%,9,1-6,16.67%,0,0-0,0%
,,,,,,,,,,,喬楚瑜,365,喬楚瑜,7,,,,DNP,,,,,,,,,
,,,,,,,,,,,李學林,406,李學林,9,,,,DNP,,,,,,,,,
7,-10,〇,0,3,0,2,2,26.92%,0,1,李家慷,218,李家慷,12,0,2,26.92%,32:42,6,2-6,33.33%,6,1-7,14.29%,0,0-0,0%
2,-4,〇,1,2,1,3,9,33.33%,3,1,林正,64,林正,25,1,6,33.33%,25:20,1,1-1,100%,1,0-2,0%,0,0-0,0%
0,-12,〇,1,2,0,0,1,0%,0,1,陳昱瑞,219,陳昱瑞,2,1,0,0%,08:15,0,0-0,0%,0,0-1,0%,0,0-0,0%
22,-2,,1,2,0,4,20,52.78%,0,2,盧峻翔,226,盧峻翔,69,3,4,56.94%,30:51,8,5-8,62.5%,8,3-10,30%,3,3-3,100%
