points,positive,starter,turnover,ast,blk,reb_d,eff,efgp,reb_o,pfoul,name_alt,player_id,name,jersey,stl,reb,tsp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
,,,,,,,,,,,盧哲毅,83,盧哲毅,15,,,,DNP,,,,,,,,,
3,3,,0,1,0,0,3,50%,0,2,張伯維,45,張伯維,77,1,0,50%,08:55,1,0-1,0%,1,1-2,50%,0,0-0,0%
,,,,,,,,,,,陳冠全,67,陳冠全,30,,,,DNP,,,,,,,,,
4,-3,,1,5,0,2,8,33.33%,1,3,施晉堯,65,施晉堯,28,1,3,33.33%,23:24,3,2-3,66.67%,3,0-3,0%,0,0-0,0%
,,,,,,,,,,,邱柏璋,283,邱柏璋,6,,,,DNP,,,,,,,,,
27,19,〇,3,6,0,9,30,61.9%,1,3,鐵米,280,鐵米,0,2,10,60.48%,46:32,12,7-12,58.33%,12,4-9,44.44%,3,1-3,33.33%
5,7,,1,0,1,1,6,125%,0,1,林郅為,286,林郅為,18,0,1,125%,08:10,1,1-1,100%,1,1-1,100%,0,0-0,0%
5,-9,,1,0,1,7,6,33.33%,1,4,比克,377,比克,11,0,8,32.22%,18:21,5,2-5,40%,5,0-1,0%,4,1-4,25%
4,6,〇,1,1,2,3,9,33.33%,3,4,丹尼爾,378,丹尼爾,35,1,6,33.33%,22:53,3,2-3,66.67%,3,0-3,0%,0,0-0,0%
,,,,,,,,,,,李睿麒,230,李睿麒,1,,,,DNP,,,,,,,,,
30,-1,〇,4,6,0,2,27,72.5%,0,3,呂政儒,208,呂政儒,13,2,2,73.39%,38:02,5,4-5,80%,5,7-15,46.67%,1,1-1,100%
3,11,〇,2,8,0,1,10,0%,1,5,陳又瑋,204,陳又瑋,4,3,2,31.51%,25:11,2,0-2,0%,2,0-1,0%,4,3-4,75%
0,1,,0,3,0,0,-1,0%,1,1,王律翔,211,王律翔,8,0,1,0%,17:31,0,0-0,0%,0,0-5,0%,0,0-0,0%
20,6,〇,2,1,0,11,25,70.83%,1,0,班尼特,255,班尼特,20,1,12,72.67%,31:01,3,1-3,33.33%,3,5-9,55.56%,4,3-4,75%
