points,positive,starter,turnover,ast,blk,reb_d,eff,efgp,reb_o,pfoul,name_alt,player_id,name,jersey,stl,reb,tsp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
5,-16,〇,0,2,0,2,6,35.71%,0,2,高國豪,84,高國豪,4,2,2,35.71%,36:57,4,1-4,25%,4,1-3,33.33%,0,0-0,0%
,,,,,,,,,,,李家瑞,79,李家瑞,12,,,,DNP,,,,,,,,,
5,-7,〇,2,0,0,1,2,62.5%,0,1,蕭順議,80,蕭順議,11,0,1,62.5%,08:28,2,1-2,50%,2,1-2,50%,0,0-0,0%
0,-7,,1,0,0,0,-4,0%,0,2,田浩,82,田浩,9,0,0,0%,05:32,3,0-3,0%,3,0-0,0%,0,0-0,0%
3,0,,0,1,1,2,6,33.33%,1,1,霍立飛,407,霍立飛,55,1,3,38.66%,12:57,3,1-3,33.33%,3,0-0,0%,2,1-2,50%
8,4,,0,5,0,0,11,44.44%,3,3,盧冠軒,399,盧冠軒,42,1,3,44.44%,30:24,4,1-4,25%,4,2-5,40%,0,0-0,0%
,,,,,,,,,,,姜廣謙,300,姜廣謙,2,,,,DNP,,,,,,,,,
17,3,,3,5,0,2,20,77.27%,0,1,曾柏喻,301,曾柏喻,7,3,2,77.27%,32:08,7,4-7,57.14%,7,3-4,75%,0,0-0,0%
2,-5,,2,0,0,2,1,0%,0,0,張傑瑋,282,張傑瑋,0,0,2,53.19%,04:04,1,0-1,0%,1,0-0,0%,2,2-2,100%
5,-11,〇,3,3,0,2,4,41.67%,1,4,王子綱,368,王子綱,3,0,3,41.67%,17:22,1,1-1,100%,1,1-5,20%,0,0-0,0%
3,3,,0,1,0,0,4,50%,0,1,朱雲豪,223,朱雲豪,8,2,0,50%,09:05,2,0-2,0%,2,1-1,100%,0,0-0,0%
9,-13,〇,4,4,4,12,8,21.43%,1,2,克拉,369,克拉,6,0,13,20.99%,41:26,15,3-15,20%,15,1-6,16.67%,1,0-1,0%
25,-11,〇,3,1,2,5,34,62.5%,9,1,狄帝,403,狄帝,21,2,14,67.06%,41:14,15,10-15,66.67%,15,0-1,0%,6,5-6,83.33%
0,0,,0,0,0,0,0,0%,0,0,周伯勳,371,周伯勳,20,0,0,0%,00:23,0,0-0,0%,0,0-0,0%,0,0-0,0%
