points,positive,starter,turnover,ast,blk,reb_d,eff,efgp,reb_o,pfoul,name_alt,player_id,name,jersey,stl,reb,tsp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
20,7,〇,1,3,0,1,17,55.56%,2,0,楊敬敏,87,楊敬敏,6,2,3,55.56%,24:29,9,4-9,44.44%,9,4-9,44.44%,0,0-0,0%
0,-3,,0,0,0,1,-2,0%,1,1,王柏智,89,王柏智,11,0,2,0%,03:43,3,0-3,0%,3,0-1,0%,0,0-0,0%
0,-3,,0,0,0,0,0,0%,0,0,林力仁,76,林力仁,72,0,0,0%,02:44,0,0-0,0%,0,0-0,0%,0,0-0,0%
12,7,〇,5,19,0,1,22,46.15%,2,1,林書緯,41,林書緯,1,1,3,46.15%,37:40,8,3-8,37.5%,8,2-5,40%,0,0-0,0%
27,24,,2,0,0,9,34,109.09%,1,1,牧倫斯,265,牧倫斯,5,1,10,105.8%,23:37,7,6-7,85.71%,7,4-4,100%,4,3-4,75%
16,17,,3,4,0,3,13,45.83%,1,3,海登,379,海登,0,1,4,53.05%,23:53,7,4-7,57.14%,7,1-5,20%,7,5-7,71.43%
,,,,,,,,,,,李威廷,288,李威廷,4,,,,DNP,,,,,,,,,
11,15,,1,0,0,4,12,61.11%,1,0,蘇士軒,290,蘇士軒,17,1,5,61.11%,18:40,6,4-6,66.67%,6,1-3,33.33%,0,0-0,0%
,,,,,,,,,,,林金榜,263,林金榜,19,,,,DNP,,,,,,,,,
3,8,〇,1,2,0,2,8,37.5%,5,2,戴維斯,69,戴維斯,50,0,7,37.5%,18:02,2,0-2,0%,2,1-2,50%,0,0-0,0%
14,7,〇,0,2,0,2,16,75%,1,3,李愷諺,233,李愷諺,9,1,3,75.11%,26:08,3,3-3,100%,3,2-5,40%,3,2-3,66.67%
11,25,,0,2,0,0,13,110%,0,1,簡祐哲,234,簡祐哲,10,1,0,110%,21:25,1,1-1,100%,1,3-4,75%,0,0-0,0%
3,16,,0,3,0,1,5,50%,0,2,洪志善,237,洪志善,24,0,1,50%,11:25,0,0-0,0%,0,1-3,33.33%,0,0-0,0%
12,5,〇,2,0,0,8,15,56.25%,2,2,安尼奎,398,安尼奎,33,0,10,61.48%,28:14,5,3-5,60%,5,1-3,33.33%,4,3-4,75%
