points,positive,starter,turnover,ast,blk,reb_d,eff,efgp,reb_o,pfoul,name_alt,player_id,name,jersey,stl,reb,tsp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
7,-1,,1,2,0,3,14,50%,4,3,賴廷恩,40,賴廷恩,0,3,7,50%,23:44,2,2-2,100%,2,1-5,20%,0,0-0,0%
3,-7,〇,0,1,0,0,-2,16.67%,1,0,周桂羽,46,周桂羽,8,0,1,20.49%,17:33,5,1-5,20%,5,0-1,0%,3,1-3,33.33%
1,3,,2,1,0,1,-3,0%,1,4,曾祥鈞,52,曾祥鈞,21,1,2,8.5%,16:25,2,0-2,0%,2,0-3,0%,2,1-2,50%
4,-14,〇,2,3,0,5,7,33.33%,1,0,林志傑,48,林志傑,12,0,6,33.33%,17:57,4,2-4,50%,4,0-2,0%,0,0-0,0%
2,1,,0,0,0,2,3,50%,0,0,蔡文誠,50,蔡文誠,14,0,2,50%,07:12,2,1-2,50%,2,0-0,0%,0,0-0,0%
12,-4,〇,3,2,0,8,13,42.86%,2,3,強森,269,強森,5,0,10,42.86%,33:20,7,6-7,85.71%,7,0-7,0%,0,0-0,0%
0,1,,1,1,0,0,1,0%,1,2,謝宗融,274,謝宗融,15,0,1,0%,09:08,0,0-0,0%,0,0-0,0%,0,0-0,0%
7,-8,〇,0,2,0,3,5,35%,0,0,簡廷兆,275,簡廷兆,24,0,3,35%,24:16,5,2-5,40%,5,1-5,20%,0,0-0,0%
0,-4,,0,0,0,0,0,0%,0,0,伊波卡,302,伊波卡,7,0,0,0%,01:54,0,0-0,0%,0,0-0,0%,0,0-0,0%
20,-14,〇,2,2,2,4,25,85%,2,4,塞瑟夫,54,塞瑟夫,32,2,6,85.03%,35:13,3,1-3,33.33%,3,5-7,71.43%,4,3-4,75%
25,0,,2,2,1,1,21,56.25%,3,4,辛特力,51,辛特力,17,1,4,64.04%,26:39,7,3-7,42.86%,7,4-9,44.44%,8,7-8,87.5%
6,4,,3,3,1,1,6,50%,1,1,洪楷傑,235,洪楷傑,11,0,2,55.15%,15:31,1,1-1,100%,1,1-4,25%,1,1-1,100%
0,-2,,0,2,0,0,-1,0%,0,0,張文平,239,張文平,10,0,0,0%,11:08,1,0-1,0%,1,0-2,0%,0,0-0,0%
,,,,,,,,,,,吳永盛,229,吳永盛,6,,,,DNP,,,,,,,,,
