points,positive,starter,turnover,ast,blk,reb_d,eff,efgp,reb_o,pfoul,name_alt,player_id,name,jersey,stl,reb,tsp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
5,13,〇,1,5,0,1,8,50%,0,6,關達祐,58,關達祐,6,1,1,51.23%,28:02,3,2-3,66.67%,3,0-1,0%,2,1-2,50%
2,7,〇,1,1,0,1,4,50%,2,2,林子洧,294,林子洧,10,0,3,50%,08:04,1,1-1,100%,1,0-1,0%,0,0-0,0%
0,-9,,0,0,0,2,-1,0%,0,0,張鎮衙,297,張鎮衙,27,0,2,0%,17:00,0,0-0,0%,0,0-3,0%,0,0-0,0%
22,14,〇,4,3,1,13,36,67.86%,4,0,沃許本,299,沃許本,42,3,17,69.8%,41:46,10,8-10,80%,10,1-4,25%,4,3-4,75%
18,-4,,2,0,0,5,21,77.78%,3,3,伯朗,252,伯朗,21,2,8,80.36%,23:03,2,1-2,50%,2,4-7,57.14%,5,4-5,80%
18,12,〇,1,3,0,6,23,53.33%,3,1,密克斯,364,密克斯,5,1,9,56.68%,31:11,14,8-14,57.14%,14,0-1,0%,2,2-2,100%
,,,,,,,,,,,喬楚瑜,365,喬楚瑜,7,,,,DNP,,,,,,,,,
,,,,,,,,,,,李學林,406,李學林,9,,,,DNP,,,,,,,,,
0,-4,,3,2,0,2,-4,0%,1,1,李家慷,218,李家慷,12,1,3,0%,27:05,3,0-3,0%,3,0-4,0%,0,0-0,0%
,,,,,,,,,,,林正,64,林正,25,,,,DNP,,,,,,,,,
9,5,,3,2,0,1,4,20%,0,4,陳昱瑞,219,陳昱瑞,2,3,1,45.73%,29:03,4,1-4,25%,4,0-1,0%,11,7-11,63.64%
9,21,〇,3,6,0,6,4,22.5%,0,4,盧峻翔,226,盧峻翔,69,2,6,22.5%,34:46,9,3-9,33.33%,9,1-11,9.09%,0,0-0,0%
