points,positive,starter,turnover,ast,blk,reb_d,eff,efgp,reb_o,pfoul,name_alt,player_id,name,jersey,stl,reb,tsp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
20,7,〇,0,6,0,0,22,67.86%,1,1,高國豪,84,高國豪,4,2,1,69.25%,38:30,6,2-6,33.33%,6,5-8,62.5%,1,1-1,100%
0,-1,,0,0,1,0,0,0%,0,1,李家瑞,79,李家瑞,12,0,0,0%,05:28,0,0-0,0%,0,0-1,0%,0,0-0,0%
11,6,〇,4,1,1,1,5,45.83%,0,3,蕭順議,80,蕭順議,11,2,1,45.83%,24:17,8,4-8,50%,8,1-4,25%,0,0-0,0%
,,,,,,,,,,,田浩,82,田浩,9,,,,DNP,,,,,,,,,
6,-1,,4,1,0,5,9,66.67%,1,2,霍立飛,407,霍立飛,55,1,6,77.32%,14:07,3,2-3,66.67%,3,0-0,0%,2,2-2,100%
3,13,〇,0,6,0,2,10,50%,0,2,盧冠軒,399,盧冠軒,42,1,2,50%,22:35,0,0-0,0%,0,1-3,33.33%,0,0-0,0%
,,,,,,,,,,,姜廣謙,300,姜廣謙,2,,,,DNP,,,,,,,,,
6,6,,1,4,0,3,9,60%,0,1,曾柏喻,301,曾柏喻,7,0,3,60%,25:25,2,0-2,0%,2,2-3,66.67%,0,0-0,0%
,,,,,,,,,,,呂奇旻,303,呂奇旻,23,,,,DNP,,,,,,,,,
4,12,,1,4,0,2,8,66.67%,0,2,張傑瑋,282,張傑瑋,0,0,2,66.67%,09:30,3,2-3,66.67%,3,0-0,0%,0,0-0,0%
18,13,,1,0,0,2,18,90%,0,4,朱雲豪,223,朱雲豪,8,2,2,90%,23:43,3,3-3,100%,3,4-7,57.14%,0,0-0,0%
30,20,〇,7,4,3,12,39,72.22%,3,3,克拉,369,克拉,6,1,15,75.91%,42:32,12,7-12,58.33%,12,4-6,66.67%,4,4-4,100%
22,20,〇,0,2,2,7,34,64.71%,6,3,狄帝,403,狄帝,21,2,13,64.71%,33:53,10,8-10,80%,10,2-7,28.57%,0,0-0,0%
,,,,,,,,,,,周伯勳,371,周伯勳,20,,,,DNP,,,,,,,,,
