points,positive,starter,turnover,ast,blk,reb_d,eff,efgp,reb_o,pfoul,name_alt,player_id,name,jersey,stl,reb,tsp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
14,-9,〇,3,4,0,5,16,70%,1,3,高國豪,84,高國豪,4,1,6,64.34%,33:35,5,4-5,80%,5,2-5,40%,2,0-2,0%
0,-8,,2,0,1,3,2,0%,1,2,李家瑞,79,李家瑞,12,0,4,0%,08:04,0,0-0,0%,0,0-1,0%,0,0-0,0%
2,-2,〇,2,1,0,2,1,33.33%,0,3,蕭順議,80,蕭順議,11,0,2,33.33%,07:44,2,1-2,50%,2,0-1,0%,0,0-0,0%
0,-1,,0,2,0,1,3,0%,0,0,施顏宗,214,施顏宗,1,0,1,0%,08:28,0,0-0,0%,0,0-0,0%,0,0-0,0%
11,11,,1,3,0,0,8,55%,0,0,盧冠軒,399,盧冠軒,42,1,0,55%,29:15,3,1-3,33.33%,3,3-7,42.86%,0,0-0,0%
0,3,,0,1,0,0,0,0%,0,2,曾柏喻,301,曾柏喻,7,0,0,0%,16:35,0,0-0,0%,0,0-1,0%,0,0-0,0%
,,,,,,,,,,,呂奇旻,303,呂奇旻,23,,,,DNP,,,,,,,,,
7,0,,0,1,0,6,10,43.75%,1,0,張傑瑋,282,張傑瑋,0,0,7,43.75%,15:31,6,2-6,33.33%,6,1-2,50%,0,0-0,0%
36,-19,〇,6,2,1,5,26,56.82%,0,3,艾夫伯,405,艾夫伯,24,2,5,65.98%,34:21,6,2-6,33.33%,6,7-16,43.75%,12,11-12,91.67%
,,,,,,,,,,,王子綱,368,王子綱,3,,,,DNP,,,,,,,,,
7,1,,1,1,0,1,5,41.67%,0,3,朱雲豪,223,朱雲豪,8,1,1,50.87%,19:22,2,1-2,50%,2,1-4,25%,2,2-2,100%
15,-10,〇,1,2,0,11,21,38.89%,1,2,克拉,369,克拉,6,1,12,55.97%,30:20,5,2-5,40%,5,1-4,25%,10,8-10,80%
11,9,,3,2,1,4,17,58.33%,3,2,狄帝,403,狄帝,21,2,7,70.88%,26:06,2,2-2,100%,2,1-4,25%,4,4-4,100%
0,-10,〇,0,1,0,1,2,0%,0,3,周伯勳,371,周伯勳,20,0,1,0%,10:39,0,0-0,0%,0,0-0,0%,0,0-0,0%
