points,positive,starter,turnover,ast,blk,reb_d,eff,efgp,reb_o,pfoul,name_alt,player_id,name,jersey,stl,reb,tsp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
0,-9,〇,2,4,0,2,2,0%,2,3,關達祐,58,關達祐,6,0,4,0%,28:14,2,0-2,0%,2,0-2,0%,0,0-0,0%
0,-5,,0,2,0,0,1,0%,0,1,林子洧,294,林子洧,10,0,0,0%,08:29,0,0-0,0%,0,0-1,0%,0,0-0,0%
6,-15,〇,1,4,0,1,3,33.33%,0,1,張鎮衙,297,張鎮衙,27,0,1,33.33%,30:31,2,0-2,0%,2,2-7,28.57%,0,0-0,0%
8,-11,〇,3,2,0,2,8,66.67%,0,0,沃許本,299,沃許本,42,0,2,84.03%,16:04,2,2-2,100%,2,0-1,0%,4,4-4,100%
19,-6,,1,0,1,6,21,67.86%,1,3,伯朗,252,伯朗,21,1,7,67.86%,32:50,7,5-7,71.43%,7,3-7,42.86%,0,0-0,0%
16,-18,〇,1,0,1,7,18,43.75%,2,5,密克斯,364,密克斯,5,2,9,47.39%,35:30,14,7-14,50%,14,0-2,0%,2,2-2,100%
0,-4,,0,0,0,0,-1,0%,0,0,喬楚瑜,365,喬楚瑜,7,0,0,0%,04:05,0,0-0,0%,0,0-1,0%,0,0-0,0%
0,-5,,0,0,0,0,-1,0%,0,0,李學林,406,李學林,9,0,0,0%,10:19,0,0-0,0%,0,0-1,0%,0,0-0,0%
2,-2,,0,0,0,1,2,50%,0,1,李家慷,218,李家慷,12,0,1,50%,04:28,1,1-1,100%,1,0-1,0%,0,0-0,0%
7,-7,,1,0,0,2,7,125%,0,1,林正,64,林正,25,1,2,93.09%,07:31,1,1-1,100%,1,1-1,100%,4,2-4,50%
5,-15,,3,4,0,2,8,0%,2,2,陳昱瑞,219,陳昱瑞,2,4,4,32.72%,28:45,3,0-3,0%,3,0-2,0%,6,5-6,83.33%
20,-18,〇,4,3,0,4,18,53.13%,0,2,盧峻翔,226,盧峻翔,69,3,4,57.74%,33:14,10,7-10,70%,10,1-6,16.67%,3,3-3,100%
