points,positive,starter,turnover,ast,blk,reb_d,eff,efgp,reb_o,pfoul,name_alt,player_id,name,jersey,stl,reb,tsp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
20,16,〇,3,5,0,1,18,63.33%,2,3,高國豪,84,高國豪,4,1,3,62.97%,37:50,11,5-11,45.45%,11,3-4,75%,2,1-2,50%
0,-2,〇,1,1,1,0,-1,0%,1,0,李家瑞,79,李家瑞,12,0,1,0%,11:10,2,0-2,0%,2,0-1,0%,0,0-0,0%
9,6,,0,0,1,5,14,100%,0,4,蕭順議,80,蕭順議,11,1,5,92.21%,10:58,2,1-2,50%,2,2-2,100%,2,1-2,50%
0,-4,,0,0,0,0,0,0%,0,0,田浩,82,田浩,9,0,0,0%,01:52,0,0-0,0%,0,0-0,0%,0,0-0,0%
0,-3,,1,0,0,1,0,0%,0,1,施顏宗,214,施顏宗,1,0,1,0%,07:04,0,0-0,0%,0,0-0,0%,0,0-0,0%
11,3,,1,0,0,7,19,71.43%,4,3,霍立飛,407,霍立飛,55,1,11,69.8%,26:04,7,5-7,71.43%,7,0-0,0%,2,1-2,50%
13,4,〇,2,2,0,1,9,50%,1,2,盧冠軒,399,盧冠軒,42,1,2,52.25%,41:49,4,3-4,75%,4,2-8,25%,1,1-1,100%
2,-18,,1,0,0,1,2,0%,0,1,曾柏喻,301,曾柏喻,7,1,1,53.19%,17:50,1,0-1,0%,1,0-0,0%,2,2-2,100%
,,,,,,,,,,,呂奇旻,303,呂奇旻,23,,,,DNP,,,,,,,,,
,,,,,,,,,,,張傑瑋,282,張傑瑋,0,,,,DNP,,,,,,,,,
29,12,〇,2,7,0,5,31,61.9%,2,4,艾夫伯,405,艾夫伯,24,2,7,62.5%,35:58,9,7-9,77.78%,9,4-12,33.33%,5,3-5,60%
0,-5,,1,0,0,0,-3,0%,0,1,朱雲豪,223,朱雲豪,8,0,0,0%,05:52,0,0-0,0%,0,0-2,0%,0,0-0,0%
19,-13,〇,3,3,2,6,18,40.48%,3,2,克拉,369,克拉,6,1,9,43.42%,33:58,13,7-13,53.85%,13,1-8,12.5%,2,2-2,100%
0,9,,1,0,0,0,0,0%,2,0,周伯勳,371,周伯勳,20,0,2,0%,09:35,1,0-1,0%,1,0-0,0%,0,0-0,0%
