points,positive,starter,turnover,ast,blk,reb_d,eff,efgp,reb_o,pfoul,name_alt,player_id,name,jersey,stl,reb,tsp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
5,5,,1,2,0,1,4,25%,0,3,賴廷恩,40,賴廷恩,0,4,1,32.22%,11:12,4,0-4,0%,4,1-2,50%,4,2-4,50%
6,15,〇,2,1,0,0,3,42.86%,1,2,周桂羽,46,周桂羽,8,1,1,42.86%,23:14,6,3-6,50%,6,0-1,0%,0,0-0,0%
6,0,,2,1,1,10,16,66.67%,2,0,曾祥鈞,52,曾祥鈞,21,0,12,69.44%,16:28,3,2-3,66.67%,3,0-0,0%,3,2-3,66.67%
4,17,,3,4,0,4,7,40%,0,3,林志傑,48,林志傑,12,1,4,40%,23:40,2,2-2,100%,2,0-3,0%,0,0-0,0%
,,,,,,,,,,,蔡文誠,50,蔡文誠,14,,,,DNP,,,,,,,,,
14,2,,2,0,0,3,8,41.67%,0,1,強森,269,強森,5,1,3,49.3%,25:58,9,5-9,55.56%,9,0-3,0%,5,4-5,80%
,,,,,,,,,,,謝宗融,274,謝宗融,15,,,,DNP,,,,,,,,,
15,-7,〇,3,0,0,2,5,43.75%,1,1,簡廷兆,275,簡廷兆,24,1,3,44.43%,32:42,9,4-9,44.44%,9,2-7,28.57%,2,1-2,50%
6,3,〇,3,1,1,2,10,60%,4,2,伊波卡,302,伊波卡,7,1,6,60%,12:42,5,3-5,60%,5,0-0,0%,0,0-0,0%
8,12,〇,1,6,0,5,18,37.5%,2,5,塞瑟夫,54,塞瑟夫,32,3,7,45.05%,30:30,6,3-6,50%,6,0-2,0%,2,2-2,100%
29,1,〇,5,5,1,10,31,71.05%,1,2,辛特力,51,辛特力,17,1,11,68.4%,39:24,11,6-11,54.55%,11,5-8,62.5%,5,2-5,40%
0,0,,0,0,0,0,3,0%,1,1,洪楷傑,235,洪楷傑,11,2,1,0%,02:48,0,0-0,0%,0,0-0,0%,0,0-0,0%
11,-8,,0,0,0,0,10,61.11%,3,4,張文平,239,張文平,10,1,3,61.11%,21:22,4,1-4,25%,4,3-5,60%,0,0-0,0%
,,,,,,,,,,,吳永盛,229,吳永盛,6,,,,DNP,,,,,,,,,
