points,positive,seconds,starter,turnover,ast,blk,reb_d,eff,efgp,ft_m,ft_a,reb_o,pfoul,profile_picture,name_alt,player_id,name,jersey,position,stl,trey_m,trey_a,reb,tsp,two_m,two_a,ugp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
6,2,454,,0,0,0,0,4,60%,0,0,0,1,,李盈鋒,287,,1,,0,0,1,0,60%,3,1,29.6%,07:34,4,3-4,75%,1,0-1,0%,0,0-0,0%
1,3,657,,0,2,0,0,3,0%,1,1,1,1,,林仕軒,231,,2,,0,0,0,1,56.8%,0,0,3.6%,10:57,0,0-0,0%,0,0-0,0%,2,1-2,50%
2,26,938,,1,1,0,0,-2,16.7%,0,0,0,2,,陳俊男,232,,3,,1,0,1,0,16.7%,1,4,19.3%,15:38,5,1-5,20%,1,0-1,0%,0,0-0,0%
13,4,1845,〇,1,1,0,1,4,20%,5,0,2,1,,楊敬敏,87,,6,,4,0,5,3,29.3%,4,11,32%,30:45,15,4-15,26.7%,5,0-5,0%,5,5-5,100%
7,-1,1228,〇,2,1,0,3,3,25%,2,0,0,1,,李愷諺,233,,9,,2,1,3,3,32.2%,1,5,26.6%,20:28,6,1-6,16.7%,4,1-4,25%,2,2-2,100%
7,16,1160,,2,1,0,1,5,50%,2,1,0,3,,簡祐哲,234,,10,,2,1,2,1,55.4%,1,1,18.1%,19:20,2,1-2,50%,3,1-3,33.3%,3,2-3,66.7%
3,-4,952,〇,1,0,0,0,3,50%,0,0,1,1,,洪楷傑,235,,11,,2,1,0,1,50%,0,2,11%,15:52,2,0-2,0%,1,1-1,100%,0,0-0,0%
9,34,1295,,0,3,0,2,14,90%,0,0,0,2,,洪志善,237,,24,,2,3,2,2,90%,0,0,9.9%,21:35,0,0-0,0%,5,3-5,60%,0,0-0,0%
3,-3,364,,1,0,0,1,2,150%,0,2,0,0,,張文平,239,,28,,1,1,0,1,79.8%,0,0,19.9%,06:04,0,0-0,0%,1,1-1,100%,2,0-2,0%
0,5,632,,0,0,0,1,1,0%,0,0,1,1,,楊興治,228,,33,,0,0,0,2,0%,0,1,4.1%,10:32,1,0-1,0%,0,0-0,0%,0,0-0,0%
17,34,2235,〇,4,5,2,6,21,57.7%,2,2,1,2,,里金斯,254,,34,,3,3,3,7,57.6%,3,4,21%,37:15,7,3-7,42.9%,6,3-6,50%,4,2-4,50%
15,11,1667,〇,1,1,0,11,26,46.7%,1,0,8,0,,湯瑪士,250,,40,,0,0,3,19,48.6%,7,5,25.2%,27:47,12,7-12,58.3%,3,0-3,0%,1,1-1,100%
17,23,973,,1,5,3,5,30,92.9%,4,2,2,0,,戴維斯,69,,50,,3,3,1,7,88.2%,2,1,27.5%,16:13,3,2-3,66.7%,4,3-4,75%,6,4-6,66.7%
