points,positive,seconds,starter,turnover,ast,blk,reb_d,eff,efgp,ft_m,ft_a,reb_o,pfoul,profile_picture,name_alt,player_id,name,jersey,position,stl,trey_m,trey_a,reb,tsp,two_m,two_a,ugp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
2,1,181,,0,0,0,0,2,100%,0,0,0,1,,戴瑞騰,203,,0,,0,0,0,0,100%,1,0,14.8%,03:01,1,1-1,100%,0,0-0,0%,0,0-0,0%
13,9,2605,〇,4,6,1,5,14,36.7%,2,1,0,2,,陳又瑋,204,,4,,4,1,3,5,39.8%,4,7,21%,43:25,11,4-11,36.4%,4,1-4,25%,3,2-3,66.7%
,,,,,,,,,,,,,,,周儀翔,262,,6,,,,,,,,,,DNP,,,,,,,,,
14,0,2015,〇,0,2,0,0,9,43.3%,1,0,2,2,,王律翔,211,,8,,0,1,8,2,45.3%,5,1,20.8%,33:35,6,5-6,83.3%,9,1-9,11.1%,1,1-1,100%
4,3,549,,0,0,0,3,3,33.3%,0,0,0,1,,王柏智,89,,10,,0,0,0,3,33.3%,2,4,29.6%,09:09,6,2-6,33.3%,0,0-0,0%,0,0-0,0%
0,0,27,,0,0,0,0,-1,0%,0,0,0,1,,林均濠,206,,11,,0,0,0,0,0%,0,1,0%,00:27,1,0-1,0%,0,0-0,0%,0,0-0,0%
19,2,2385,〇,1,3,0,3,18,67.9%,0,0,0,4,,呂政儒,208,,13,,1,5,4,3,67.9%,2,3,17.1%,39:45,5,2-5,40%,9,5-9,55.6%,0,0-0,0%
1,-9,1252,,1,3,0,5,6,0%,1,1,1,3,,盧哲毅,83,,15,,0,0,2,6,17.4%,0,0,8.6%,20:52,0,0-0,0%,2,0-2,0%,2,1-2,50%
37,9,2433,〇,2,1,1,13,47,69.2%,1,0,6,3,,班尼特,255,Anthony Bennett,20,,1,4,5,19,70%,12,5,31.6%,40:33,17,12-17,70.6%,9,4-9,44.4%,1,1-1,100%
,,,,,,,,,,,,,,,藍少甫,209,,23,,,,,,,,,,DNP,,,,,,,,,
11,21,2335,〇,4,11,1,11,28,50%,2,0,1,1,,布朗,243,,24,,2,1,4,12,55.7%,3,1,16.2%,38:55,4,3-4,75%,5,1-5,20%,2,2-2,100%
0,9,618,,0,0,0,2,-1,0%,0,0,0,1,,楊浩之,210,,30,,0,0,3,2,0%,0,0,13.3%,10:18,0,0-0,0%,3,0-3,0%,0,0-0,0%
,,,,,,,,,,,,,,,彭俊諺,70,,63,,,,,,,,,,DNP,,,,,,,,,
