points,positive,seconds,starter,turnover,ast,blk,reb_d,eff,efgp,ft_m,ft_a,reb_o,pfoul,profile_picture,name_alt,player_id,name,jersey,position,stl,trey_m,trey_a,reb,tsp,two_m,two_a,ugp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
3,0,494,,0,0,0,0,3,50%,0,0,0,0,,賴廷恩,40,,0,,2,1,0,0,50%,0,2,18.5%,08:14,2,0-2,0%,1,1-1,100%,0,0-0,0%
15,-13,1457,〇,2,2,0,3,12,45.8%,4,0,0,0,,林書緯,41,,1,,2,3,4,3,54.5%,1,4,32.4%,24:17,5,1-5,20%,7,3-7,42.9%,4,4-4,100%
0,-7,873,〇,0,0,0,0,-3,0%,0,0,0,0,,簡偉儒,42,,2,,0,0,3,0,0%,0,0,10.6%,14:33,0,0-0,0%,3,0-3,0%,0,0-0,0%
17,0,1942,,2,5,0,0,13,39.3%,6,0,1,1,,張宗憲,43,,3,,1,1,3,1,51.1%,4,6,28.8%,32:22,10,4-10,40%,4,1-4,25%,6,6-6,100%
2,-5,521,,1,0,0,1,0,33.3%,0,0,0,1,,周桂羽,46,,8,,0,0,1,1,33.3%,1,1,24.7%,08:41,2,1-2,50%,1,0-1,0%,0,0-0,0%
3,-1,1389,,5,2,0,3,-4,14.3%,1,1,0,1,,林志傑,48,,12,,0,0,6,3,19%,1,0,27.6%,23:09,1,1-1,100%,6,0-6,0%,2,1-2,50%
0,-2,12,,0,0,0,0,0,0%,0,0,0,0,,林孟學,49,,13,,0,0,0,0,0%,0,0,0%,00:12,0,0-0,0%,0,0-0,0%,0,0-0,0%
6,-11,1755,〇,1,1,0,5,9,50%,2,1,0,2,,蔡文誠,50,,14,,1,0,2,5,56.4%,2,0,10.8%,29:15,2,2-2,100%,2,0-2,0%,3,2-3,66.7%
3,-1,796,,0,0,1,1,3,50%,1,1,0,1,,曾祥鈞,52,,21,,0,0,0,1,52.1%,1,1,10.9%,13:16,2,1-2,50%,0,0-0,0%,2,1-2,50%
0,1,209,,0,0,0,0,0,0%,0,0,0,1,,張耕淯,66,,29,,0,0,0,0,0%,0,0,0%,03:29,0,0-0,0%,0,0-0,0%,0,0-0,0%
12,-14,2147,〇,2,1,1,7,18,55.6%,2,0,2,6,,塞瑟夫,54,,32,,1,0,2,9,60.7%,5,2,16.8%,35:47,7,5-7,71.4%,2,0-2,0%,2,2-2,100%
11,-19,1477,〇,4,1,1,5,14,83.3%,1,1,1,5,,德古拉,216,,75,,1,0,0,6,79.9%,5,1,22.4%,24:37,6,5-6,83.3%,0,0-0,0%,2,1-2,50%
10,12,1328,,2,3,1,8,19,83.3%,0,0,0,1,,曾文鼎,56,,76,,0,0,0,8,83.3%,5,1,17.9%,22:08,6,5-6,83.3%,0,0-0,0%,0,0-0,0%
