points,positive,seconds,starter,turnover,ast,blk,reb_d,eff,efgp,ft_m,ft_a,reb_o,pfoul,profile_picture,name_alt,player_id,name,jersey,position,stl,trey_m,trey_a,reb,tsp,two_m,two_a,ugp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
,,,,,,,,,,,,,,,戴瑞騰,203,,0,,,,,,,,,,DNP,,,,,,,,,
3,-12,2094,〇,3,2,0,5,-2,12.5%,0,0,2,1,,陳又瑋,204,,4,,0,1,3,7,12.5%,0,8,20%,34:54,8,0-8,0%,4,1-4,25%,0,0-0,0%
12,12,2054,〇,5,2,1,9,13,35.7%,2,2,4,2,,班森,205,,6,,1,0,1,13,38.1%,5,8,27.6%,34:14,13,5-13,38.5%,1,0-1,0%,4,2-4,50%
9,1,1624,,2,2,0,1,6,50%,0,0,1,3,,王律翔,211,,8,,1,3,4,2,50%,0,2,18.4%,27:04,2,0-2,0%,7,3-7,42.9%,0,0-0,0%
7,-19,1101,,2,0,0,5,12,58.3%,0,0,4,1,,王柏智,89,,10,,1,1,0,9,58.3%,2,3,20.1%,18:21,5,2-5,40%,1,1-1,100%,0,0-0,0%
0,-1,167,,0,0,0,0,-1,0%,0,0,0,0,,林均濠,206,,11,,1,0,1,0,0%,0,1,45.2%,02:47,1,0-1,0%,1,0-1,0%,0,0-0,0%
,,,,,,,,,,,,,,,鄭德維,207,,12,,,,,,,,,,DNP,,,,,,,,,
16,-8,2444,〇,3,2,3,3,16,57.1%,0,0,0,4,,呂政儒,208,,13,,3,4,6,3,57.1%,2,2,19.2%,40:44,4,2-4,50%,10,4-10,40%,0,0-0,0%
0,-1,167,,0,0,0,0,-2,0%,0,0,0,0,,盧哲毅,83,,15,,0,0,1,0,0%,0,1,45.2%,02:47,1,0-1,0%,1,0-1,0%,0,0-0,0%
9,-1,1504,〇,1,0,0,1,2,37.5%,0,0,1,2,,藍少甫,209,,23,,1,3,8,2,37.5%,0,1,23.5%,25:04,1,0-1,0%,11,3-11,27.3%,0,0-0,0%
12,-7,2459,〇,2,6,0,9,24,55.6%,2,1,1,0,,布朗,243,,24,,3,0,2,10,58.1%,5,2,13.9%,40:59,7,5-7,71.4%,2,0-2,0%,3,2-3,66.7%
,,,,,,,,,,,,,,,楊浩之,210,,34,,,,,,,,,,DNP,,,,,,,,,
0,6,786,,1,2,0,3,2,0%,0,0,1,1,,彭俊諺,70,,63,G,1,0,4,4,0%,0,0,17.4%,13:06,0,0-0,0%,4,0-4,0%,0,0-0,0%
