points,positive,seconds,starter,turnover,ast,blk,reb_d,eff,efgp,ft_m,ft_a,reb_o,pfoul,profile_picture,name_alt,player_id,name,jersey,position,stl,trey_m,trey_a,reb,tsp,two_m,two_a,ugp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
11,18,2342,〇,5,9,0,10,22,50%,3,1,1,4,,高國豪,84,,4,,2,2,1,11,56.4%,1,4,16.1%,39:02,5,1-5,20%,3,2-3,66.7%,4,3-4,75%
2,2,97,,0,0,0,0,3,100%,0,0,1,0,,宋宇軒,75,,5,,0,0,0,1,100%,1,0,42.4%,01:37,1,1-1,100%,0,0-0,0%,0,0-0,0%
0,3,275,,1,1,0,0,0,0%,0,0,0,0,,陳堅恩,73,,6,,0,0,0,0,0%,0,0,10.6%,04:35,0,0-0,0%,0,0-0,0%,0,0-0,0%
19,9,2162,〇,3,6,0,7,14,38%,0,1,1,0,,法獅,244,,7,,1,1,5,8,37.3%,8,11,33.5%,36:02,19,8-19,42.1%,6,1-6,16.7%,1,0-1,0%
14,23,2052,〇,1,1,0,5,17,77.8%,0,0,1,3,,朱雲豪,223,,8,,1,4,2,6,77.8%,1,2,12.5%,34:12,3,1-3,33.3%,6,4-6,66.7%,0,0-0,0%
0,1,740,,2,2,0,3,-1,0%,0,0,0,3,,田浩,82,,9,,0,0,3,3,0%,0,1,21.2%,12:20,1,0-1,0%,3,0-3,0%,0,0-0,0%
2,1,852,,0,1,0,1,3,20%,0,0,1,3,,蕭順議,80,,11,,2,0,1,2,20%,1,3,15.1%,14:12,4,1-4,25%,1,0-1,0%,0,0-0,0%
,,,,,,,,,,,,,,,李家瑞,79,,12,,,,,,,,,,DNP,,,,,,,,,
19,22,2088,〇,2,3,0,2,20,95%,0,0,1,2,,郭少傑,47,,24,,0,5,2,3,95%,2,1,15%,34:48,3,2-3,66.7%,7,5-7,71.4%,0,0-0,0%
30,24,2446,〇,1,4,2,12,47,68.4%,4,3,9,0,,辛巴,246,,35,,0,0,0,21,67.9%,13,6,24.5%,40:46,19,13-19,68.4%,0,0-0,0%,7,4-7,57.1%
11,-7,912,,2,1,0,2,10,64.3%,2,0,0,3,,林宜輝,224,,36,,1,1,1,2,69.8%,3,2,27.9%,15:12,5,3-5,60%,2,1-2,50%,2,2-2,100%
2,-1,309,,0,0,1,0,3,100%,0,0,0,3,,容毅燊,78,,52,,0,0,0,0,100%,1,0,8.5%,05:09,1,1-1,100%,0,0-0,0%,0,0-0,0%
0,-5,125,,0,0,0,0,-1,0%,0,0,0,0,,吳岱豪,71,,54,,0,0,0,0,0%,0,1,21.2%,02:05,1,0-1,0%,0,0-0,0%,0,0-0,0%
