points,positive,seconds,starter,turnover,ast,blk,reb_d,eff,efgp,ft_m,ft_a,reb_o,pfoul,profile_picture,name_alt,player_id,name,jersey,position,stl,trey_m,trey_a,reb,tsp,two_m,two_a,ugp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
,,,,,,,,,,,,,,,李盈鋒,287,,1,,,,,,,,,,DNP,,,,,,,,,
2,11,1372,,1,3,0,4,2,0%,2,2,1,0,,林仕軒,231,,2,,2,0,1,5,11.4%,0,6,19.3%,22:52,6,0-6,0%,1,0-1,0%,4,2-4,50%
2,-7,559,,1,0,1,0,1,33.3%,0,0,1,1,,陳俊男,232,,3,,0,0,0,1,33.3%,1,2,19.4%,09:19,3,1-3,33.3%,0,0-0,0%,0,0-0,0%
28,19,2189,〇,2,3,0,10,18,39.3%,6,2,0,0,,楊敬敏,87,,6,,1,6,10,10,44.4%,2,10,40.6%,36:29,12,2-12,16.7%,16,6-16,37.5%,8,6-8,75%
0,4,129,,0,0,0,0,0,0%,0,0,0,0,,林力仁,76,,7,,0,0,0,0,0%,0,0,0%,02:09,0,0-0,0%,0,0-0,0%,0,0-0,0%
10,14,1967,〇,5,4,2,11,21,55.6%,0,0,2,0,,李愷諺,233,,9,,1,0,1,13,55.6%,5,3,19.1%,32:47,8,5-8,62.5%,1,0-1,0%,0,0-0,0%
2,-1,876,,1,0,0,2,-1,20%,0,0,0,5,,簡祐哲,234,,10,,0,0,3,2,20%,1,1,18.7%,14:36,2,1-2,50%,3,0-3,0%,0,0-0,0%
13,16,2003,〇,0,2,0,0,10,54.2%,0,0,0,2,,洪楷傑,235,,11,,1,1,5,0,54.2%,5,1,15.8%,33:23,6,5-6,83.3%,6,1-6,16.7%,0,0-0,0%
,,,,,,,,,,,,,,,曾于豪,236,,15,,,,,,,,,,DNP,,,,,,,,,
2,2,236,,0,0,0,0,4,100%,0,0,2,1,,聶歐瑪,238,,25,,0,0,0,2,100%,1,0,14.5%,03:56,1,1-1,100%,0,0-0,0%,0,0-0,0%
5,17,1410,,0,1,0,3,3,27.8%,0,0,0,2,,張文平,239,,28,,1,1,3,3,27.8%,1,4,17.1%,23:30,5,1-5,20%,4,1-4,25%,0,0-0,0%
6,-1,1288,〇,1,0,0,1,6,100%,0,0,0,4,,楊興治,228,,33,,0,0,0,1,100%,3,0,8.3%,21:28,3,3-3,100%,0,0-0,0%,0,0-0,0%
14,26,2371,〇,2,0,6,17,40,46.4%,1,1,11,1,,湯瑪士,250,,40,,3,1,3,28,47%,5,5,18.9%,39:31,10,5-10,50%,4,1-4,25%,2,1-2,50%
