points,positive,seconds,starter,turnover,ast,blk,reb_d,eff,efgp,ft_m,ft_a,reb_o,pfoul,profile_picture,name_alt,player_id,name,jersey,position,stl,trey_m,trey_a,reb,tsp,two_m,two_a,ugp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
40,-27,2501,〇,5,0,0,9,40,63%,6,2,4,3,,羅賓森,247,,0,,6,4,3,13,65.5%,11,9,41.9%,41:41,20,11-20,55%,7,4-7,57.1%,8,6-8,75%
12,-8,1650,〇,3,3,0,5,12,50%,1,1,0,4,,喬丹,220,Jordan Tolbert,1,,2,1,4,5,50.5%,4,2,26.6%,27:30,6,4-6,66.7%,5,1-5,20%,2,1-2,50%
7,-16,2407,〇,1,6,0,4,9,27.8%,2,0,0,0,,吳家駿,215,,3,G,0,1,5,4,35.4%,1,2,13.2%,40:07,3,1-3,33.3%,6,1-6,16.7%,2,2-2,100%
0,-8,271,,3,0,0,0,-3,0%,0,0,1,1,,施顏宗,214,,5,G,0,0,0,1,0%,0,1,48.3%,04:31,1,0-1,0%,0,0-0,0%,0,0-0,0%
,,,,,,,,,,,,,,,關達祐,58,,6,,,,,,,,,,DNP,,,,,,,,,
,,,,,,,,,,,,,,,林耀宗,59,,7,,,,,,,,,,DNP,,,,,,,,,
8,7,1835,,1,2,0,1,5,36.4%,0,0,1,1,,李家慷,218,,12,G,1,0,4,2,36.4%,4,3,19.3%,30:35,7,4-7,57.1%,4,0-4,0%,0,0-0,0%
8,-19,1874,〇,1,5,0,1,11,66.7%,0,0,0,0,,陳昱瑞,219,,13,,1,2,2,1,66.7%,1,1,10.9%,31:14,2,1-2,50%,4,2-4,50%,0,0-0,0%
0,1,645,,0,0,0,3,2,0%,0,0,0,1,,林正,64,,25,,0,0,0,3,0%,0,1,4.8%,10:45,1,0-1,0%,0,0-0,0%,0,0-0,0%
9,-21,2253,〇,2,2,0,1,5,50%,0,0,1,2,,施晉堯,65,,28,G,0,3,4,2,50%,0,2,14.4%,37:33,2,0-2,0%,7,3-7,42.9%,0,0-0,0%
0,-4,964,,1,0,0,4,3,0%,0,0,0,1,,陳冠全,67,,30,G,2,0,1,4,0%,0,1,9.1%,16:04,1,0-1,0%,1,0-1,0%,0,0-0,0%
,,,,,,,,,,,,,,,溫立煌,225,,45,,,,,,,,,,DNP,,,,,,,,,
,,,,,,,,,,,,,,,盧峻翔,226,,69,,,,,,,,,,DNP,,,,,,,,,
