points,positive,seconds,starter,turnover,ast,blk,reb_d,eff,efgp,ft_m,ft_a,reb_o,pfoul,profile_picture,name_alt,player_id,name,jersey,position,stl,trey_m,trey_a,reb,tsp,two_m,two_a,ugp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
0,-2,188,,0,0,0,0,-1,0%,0,0,0,1,,戴瑞騰,203,,0,,0,0,0,0,0%,0,1,14.9%,03:08,1,0-1,0%,0,0-0,0%,0,0-0,0%
17,-2,2631,〇,0,7,0,5,25,65.4%,0,0,0,2,,陳又瑋,204,,4,,1,1,1,5,65.4%,7,4,13.5%,43:51,11,7-11,63.6%,2,1-2,50%,0,0-0,0%
24,3,2707,〇,2,5,0,7,25,55.6%,4,0,0,0,,周儀翔,262,,6,,2,6,9,7,60.7%,1,2,21.6%,45:07,3,1-3,33.3%,15,6-15,40%,4,4-4,100%
3,9,996,,1,0,0,4,3,30%,0,0,0,0,,王律翔,211,,8,,1,1,3,4,30%,0,1,16.7%,16:36,1,0-1,0%,4,1-4,25%,0,0-0,0%
0,2,191,,0,0,0,1,1,0%,0,0,0,0,,林均濠,206,,11,,0,0,0,1,0%,0,0,0%,03:11,0,0-0,0%,0,0-0,0%,0,0-0,0%
,,,,,,,,,,,,,,,鄭德維,207,,12,,,,,,,,,,DNP,,,,,,,,,
5,8,1395,,1,4,0,3,10,30%,2,0,3,4,,盧哲毅,83,,15,,0,1,3,6,42.5%,0,1,13.4%,23:15,1,0-1,0%,4,1-4,25%,2,2-2,100%
39,9,2653,〇,3,4,3,16,51,59.6%,8,1,3,2,,班尼特,255,Anthony Bennett,20,,1,1,7,19,65.1%,14,4,33.5%,44:13,18,14-18,77.8%,8,1-8,12.5%,9,8-9,88.9%
4,-5,1636,〇,0,3,1,1,-2,10.7%,1,1,1,3,,藍少甫,209,,23,,2,1,5,2,13.4%,0,8,24.6%,27:16,8,0-8,0%,6,1-6,16.7%,2,1-2,50%
15,3,2003,〇,2,7,0,2,22,83.3%,0,0,1,1,,布朗,243,,24,,2,3,2,3,83.3%,3,1,14.9%,33:23,4,3-4,75%,5,3-5,60%,0,0-0,0%
,,,,,,,,,,,,,,,楊浩之,210,,30,,,,,,,,,,DNP,,,,,,,,,
,,,,,,,,,,,,,,,彭俊諺,70,,63,,,,,,,,,,DNP,,,,,,,,,
