points,positive,seconds,starter,turnover,ast,blk,reb_d,eff,efgp,ft_m,ft_a,reb_o,pfoul,profile_picture,name_alt,player_id,name,jersey,position,stl,trey_m,trey_a,reb,tsp,two_m,two_a,ugp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
,,,,,,,,,,,,,,,陳振傑,148,,0,,,,,,,,,,DNP,,,,,,,,,
4,12,729,,0,1,0,1,6,66.7%,0,0,1,0,,成力煥,72,,7,,0,0,0,2,66.7%,2,1,11.1%,12:09,3,2-3,66.7%,0,0-0,0%,0,0-0,0%
0,1,359,,0,0,0,0,-1,0%,0,0,0,0,,王振原,227,,8,,0,0,1,0,0%,0,0,8.9%,05:59,0,0-0,0%,1,0-1,0%,0,0-0,0%
3,-13,742,〇,0,1,0,1,1,30%,0,0,0,2,,林俊吉,90,,11,,0,1,1,1,30%,0,3,18.4%,12:22,3,0-3,0%,2,1-2,50%,0,0-0,0%
12,-9,1238,,2,1,0,3,7,36.4%,4,0,0,3,,吳永盛,229,,14,,1,2,3,3,47%,1,5,32.7%,20:38,6,1-6,16.7%,5,2-5,40%,4,4-4,100%
17,-7,2058,〇,5,1,0,14,18,53.8%,3,5,2,4,,希克斯,154,,17,,1,2,3,16,51.5%,4,4,28%,34:18,8,4-8,50%,5,2-5,40%,8,3-8,37.5%
0,-4,971,,1,1,0,0,-1,0%,0,0,0,1,,楊盛硯,93,,18,,1,0,2,0,0%,0,0,8.3%,16:11,0,0-0,0%,2,0-2,0%,0,0-0,0%
5,-9,1790,,1,1,0,0,4,62.5%,0,0,1,0,,簡浩,222,,21,,0,1,2,1,62.5%,1,0,7.6%,29:50,1,1-1,100%,3,1-3,33.3%,0,0-0,0%
3,-10,1663,〇,4,3,0,2,0,21.4%,0,0,0,3,,錢肯尼,149,,23,,2,1,2,2,21.4%,0,4,18%,27:43,4,0-4,0%,3,1-3,33.3%,0,0-0,0%
19,-26,2510,〇,2,3,2,6,23,61.5%,3,4,1,2,,忻沃克,155,Randall Walko,24,,4,2,3,7,59.1%,5,3,19.5%,41:50,8,5-8,62.5%,5,2-5,40%,7,3-7,42.9%
4,-7,1034,,3,1,0,1,-3,25%,0,1,0,2,,李德威,94,,26,,1,0,2,1,23.7%,2,4,29.8%,17:14,6,2-6,33.3%,2,0-2,0%,1,0-1,0%
13,-3,1306,〇,5,0,3,7,19,57.1%,5,1,5,5,,吉爾貝克,212,,34,,0,0,0,12,67.4%,4,3,30.9%,21:46,7,4-7,57.1%,0,0-0,0%,6,5-6,83.3%
,,,,,,,,,,,,,,,鄭子洋,242,,97,,,,,,,,,,DNP,,,,,,,,,
