points,positive,seconds,starter,turnover,ast,blk,reb_d,eff,efgp,ft_m,ft_a,reb_o,pfoul,profile_picture,name_alt,player_id,name,jersey,position,stl,trey_m,trey_a,reb,tsp,two_m,two_a,ugp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
11,6,1101,,1,2,0,2,13,80%,3,1,1,0,,李盈鋒,287,,1,,1,2,1,3,81.4%,1,1,19.5%,18:21,2,1-2,50%,3,2-3,66.7%,4,3-4,75%
,,,,,,,,,,,,,,,林仕軒,231,,2,,,,,,,,,,DNP,,,,,,,,,
,,,,,,,,,,,,,,,陳俊男,232,,3,,,,,,,,,,DNP,,,,,,,,,
23,-20,2348,〇,4,2,0,5,11,43.2%,4,0,0,2,,楊敬敏,87,,6,,0,5,9,5,48.4%,2,6,32.2%,39:08,8,2-8,25%,14,5-14,35.7%,4,4-4,100%
,,,,,,,,,,,,,,,林力仁,76,,7,,,,,,,,,,DNP,,,,,,,,,
17,-17,2387,〇,2,9,0,7,25,47.1%,1,1,2,0,,李愷諺,233,,9,,3,2,4,9,47.5%,5,6,23%,39:47,11,5-11,45.5%,6,2-6,33.3%,2,1-2,50%
20,8,1598,,1,0,1,1,18,76.9%,0,0,0,3,,簡祐哲,234,,10,,2,4,4,1,76.9%,4,1,24.3%,26:38,5,4-5,80%,8,4-8,50%,0,0-0,0%
14,-18,2075,〇,2,3,0,0,11,63.6%,0,0,1,3,,洪楷傑,235,,11,,1,4,4,1,63.6%,1,2,17.3%,34:35,3,1-3,33.3%,8,4-8,50%,0,0-0,0%
2,10,979,,1,3,0,1,2,25%,0,0,0,2,,洪志善,237,,24,,0,0,2,1,25%,1,1,14.1%,16:19,2,1-2,50%,2,0-2,0%,0,0-0,0%
0,-7,219,,0,2,0,0,2,0%,0,0,0,0,,聶歐瑪,238,,25,,0,0,0,0,0%,0,0,0%,03:39,0,0-0,0%,0,0-0,0%,0,0-0,0%
0,11,1123,,0,4,0,2,6,0%,0,0,2,2,,張文平,239,,28,,0,0,2,4,0%,0,0,5%,18:43,0,0-0,0%,2,0-2,0%,0,0-0,0%
4,0,1109,〇,1,0,0,3,5,50%,0,0,1,4,,楊興治,228,,33,,0,0,0,4,50%,2,2,12.6%,18:29,4,2-4,50%,0,0-0,0%,0,0-0,0%
24,2,2961,〇,2,3,1,12,33,57.5%,1,1,5,2,,湯瑪士,250,,40,,0,1,6,17,57.5%,10,3,21.1%,49:21,13,10-13,76.9%,7,1-7,14.3%,2,1-2,50%
