points,positive,seconds,starter,turnover,ast,blk,reb_d,eff,efgp,ft_m,ft_a,reb_o,pfoul,profile_picture,name_alt,player_id,name,jersey,position,stl,trey_m,trey_a,reb,tsp,two_m,two_a,ugp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
2,-2,795,,1,0,0,5,5,50%,0,1,1,1,,戴瑞騰,203,,0,,0,0,0,6,41%,1,1,12.1%,13:15,2,1-2,50%,0,0-0,0%,1,0-1,0%
11,-17,2284,〇,3,6,0,1,11,55.6%,1,0,1,0,,陳又瑋,204,,4,,0,2,1,2,58.3%,2,4,14.9%,38:04,6,2-6,33.3%,3,2-3,66.7%,1,1-1,100%
3,-20,2374,〇,2,4,0,3,4,25%,0,0,1,2,,周儀翔,262,,6,,0,1,5,4,25%,0,0,9.4%,39:34,0,0-0,0%,6,1-6,16.7%,0,0-0,0%
6,6,938,,0,0,0,0,2,50%,0,0,0,1,,王律翔,211,,8,,0,2,1,0,50%,0,3,18.2%,15:38,3,0-3,0%,3,2-3,66.7%,0,0-0,0%
1,1,619,,0,1,0,3,2,0%,1,1,0,1,,林均濠,206,,11,,0,0,0,3,17.4%,0,2,13.1%,10:19,2,0-2,0%,0,0-0,0%,2,1-2,50%
,,,,,,,,,,,,,,,鄭德維,207,,12,,,,,,,,,,DNP,,,,,,,,,
17,-19,2469,〇,3,2,1,4,8,38.9%,3,1,0,5,,呂政儒,208,,13,,0,2,8,4,43%,4,4,25.3%,41:09,8,4-8,50%,10,2-10,20%,4,3-4,75%
15,1,886,,2,2,1,1,14,83.3%,0,0,1,1,,盧哲毅,83,,15,,0,5,4,2,83.3%,0,0,35.8%,14:46,0,0-0,0%,9,5-9,55.6%,0,0-0,0%
13,-7,805,〇,1,0,0,2,8,50%,1,0,1,2,,班尼特,255,Anthony Bennett,20,,0,2,4,3,52.3%,3,3,47.1%,13:25,6,3-6,50%,6,2-6,33.3%,1,1-1,100%
2,-8,661,,1,0,0,2,2,50%,0,0,0,5,,藍少甫,209,,23,,0,0,0,2,50%,1,1,12.4%,11:01,2,1-2,50%,0,0-0,0%,0,0-0,0%
27,-15,2569,〇,3,11,0,16,46,69.4%,2,1,1,1,,布朗,243,,24,,4,7,5,17,69.9%,2,4,24.2%,42:49,6,2-6,33.3%,12,7-12,58.3%,3,2-3,66.7%
,,,,,,,,,,,,,,,楊浩之,210,,30,,,,,,,,,,DNP,,,,,,,,,
,,,,,,,,,,,,,,,彭俊諺,70,,63,,,,,,,,,,DNP,,,,,,,,,
