points,positive,seconds,starter,turnover,ast,blk,reb_d,eff,efgp,ft_m,ft_a,reb_o,pfoul,profile_picture,name_alt,player_id,name,jersey,position,stl,trey_m,trey_a,reb,tsp,two_m,two_a,ugp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
4,4,805,,2,2,0,2,8,66.7%,0,0,0,0,,賴廷恩,40,,0,,3,0,0,2,66.7%,2,1,18.8%,13:25,3,2-3,66.7%,0,0-0,0%,0,0-0,0%
13,10,1968,〇,3,7,0,3,19,62.5%,3,2,3,0,,林書緯,41,,1,,1,0,3,6,63.7%,5,0,20.2%,32:48,5,5-5,100%,3,0-3,0%,5,3-5,60%
5,14,760,,1,0,0,1,6,125%,0,0,0,0,,簡偉儒,42,,2,,1,1,0,1,125%,1,0,12.2%,12:40,1,1-1,100%,1,1-1,100%,0,0-0,0%
0,-22,732,〇,0,0,0,1,-3,0%,0,0,0,0,,張宗憲,43,,3,,0,0,1,1,0%,0,3,16.3%,12:12,3,0-3,0%,1,0-1,0%,0,0-0,0%
10,13,1698,,1,4,0,3,11,44.4%,2,0,0,1,,林志傑,48,,12,,0,0,5,3,50.6%,4,0,19%,28:18,4,4-4,100%,5,0-5,0%,2,2-2,100%
10,1,1693,〇,1,2,0,3,12,75%,1,1,1,2,,林孟學,49,,13,,0,1,1,4,72.7%,3,1,13.8%,28:13,4,3-4,75%,2,1-2,50%,2,1-2,50%
0,-4,505,,1,1,0,3,3,0%,0,0,0,1,,蔡文誠,50,,14,,1,0,0,3,0%,0,1,12.2%,08:25,1,0-1,0%,0,0-0,0%,0,0-0,0%
21,15,2172,〇,3,7,0,9,30,69.2%,3,0,1,4,,辛特力,51,,17,,1,4,2,10,73.3%,3,4,23.6%,36:12,7,3-7,42.9%,6,4-6,66.7%,3,3-3,100%
6,6,1871,,1,0,0,2,-3,25%,2,5,1,4,,曾祥鈞,52,,21,,0,0,1,3,27.1%,2,5,19.1%,31:11,7,2-7,28.6%,1,0-1,0%,7,2-7,28.6%
,,,,,,,,,,,,,,,石博恩,53,,23,,,,,,,,,,DNP,,,,,,,,,
,,,,,,,,,,,,,,,張耕淯,66,,29,,,,,,,,,,DNP,,,,,,,,,
26,13,2196,〇,4,0,3,9,30,68.8%,4,2,2,2,,塞瑟夫,54,,32,,2,2,2,11,69.7%,8,4,30.8%,36:36,12,8-12,66.7%,4,2-4,50%,6,4-6,66.7%
,,,,,,,,,,,,,,,曾文鼎,56,,76,,,,,,,,,,DNP,,,,,,,,,
