points,positive,seconds,starter,turnover,ast,blk,reb_d,eff,efgp,ft_m,ft_a,reb_o,pfoul,profile_picture,name_alt,player_id,name,jersey,position,stl,trey_m,trey_a,reb,tsp,two_m,two_a,ugp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
5,-6,849,,0,0,0,1,2,16.7%,3,1,1,2,,李盈鋒,287,,1,,1,0,3,2,32.2%,1,2,24.2%,14:09,3,1-3,33.3%,3,0-3,0%,4,3-4,75%
0,-6,201,,1,0,0,0,-1,0%,0,0,1,0,,林仕軒,231,,2,,0,0,1,1,0%,0,0,29.1%,03:21,0,0-0,0%,1,0-1,0%,0,0-0,0%
23,5,1960,〇,3,3,0,7,22,50%,9,1,0,3,,楊敬敏,87,,6,,1,2,6,7,62.5%,4,2,29.2%,32:40,6,4-6,66.7%,8,2-8,25%,10,9-10,90%
,,,,,,,,,,,,,,,林力仁,76,,7,,,,,,,,,,DNP,,,,,,,,,
7,3,1254,〇,2,5,0,4,10,50%,0,0,0,3,,李愷諺,233,,9,,0,1,0,4,50%,2,4,19.6%,20:54,6,2-6,33.3%,1,1-1,100%,0,0-0,0%
15,0,1032,,1,0,0,1,13,75%,0,0,1,2,,簡祐哲,234,,10,,1,3,4,2,75%,3,0,28.2%,17:12,3,3-3,100%,7,3-7,42.9%,0,0-0,0%
9,10,1531,〇,2,1,0,3,5,50%,1,1,0,1,,洪楷傑,235,,11,,0,2,5,3,50.7%,1,0,19%,25:31,1,1-1,100%,7,2-7,28.6%,2,1-2,50%
8,17,1533,,1,6,0,3,15,25%,6,0,1,2,,洪志善,237,,24,,1,0,2,4,60.2%,1,1,13.3%,25:33,2,1-2,50%,2,0-2,0%,6,6-6,100%
0,-4,182,,1,0,0,0,-2,0%,0,0,0,0,,張文平,239,,28,,0,0,1,0,0%,0,0,29.1%,03:02,0,0-0,0%,1,0-1,0%,0,0-0,0%
0,12,820,〇,1,1,0,0,0,0%,0,0,1,5,,楊興治,228,,33,,1,0,0,1,0%,0,2,10.1%,13:40,2,0-2,0%,0,0-0,0%,0,0-0,0%
13,6,1840,,1,3,2,2,15,72.2%,0,0,0,1,,里金斯,254,,34,,0,3,1,2,72.2%,2,3,14.5%,30:40,5,2-5,40%,4,3-4,75%,0,0-0,0%
16,-7,2027,〇,0,0,1,15,30,44.1%,1,0,8,0,,湯瑪士,250,,40,,0,1,5,23,45.9%,6,5,23%,33:47,11,6-11,54.5%,6,1-6,16.7%,1,1-1,100%
6,20,1171,,1,0,2,3,11,42.9%,0,0,4,1,,戴維斯,69,,50,,1,0,1,7,42.9%,3,3,18.4%,19:31,6,3-6,50%,1,0-1,0%,0,0-0,0%
