points,positive,seconds,starter,turnover,ast,blk,reb_d,eff,efgp,ft_m,ft_a,reb_o,pfoul,profile_picture,name_alt,player_id,name,jersey,position,stl,trey_m,trey_a,reb,tsp,two_m,two_a,ugp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
4,-4,402,,0,0,0,2,5,66.7%,0,0,0,1,,戴瑞騰,203,,0,,0,0,0,2,66.7%,2,1,20.5%,06:42,3,2-3,66.7%,0,0-0,0%,0,0-0,0%
17,-29,2568,〇,4,9,0,11,24,44.7%,0,2,3,2,,塔克,86,,1,,2,3,9,14,42.8%,4,3,23.3%,42:48,7,4-7,57.1%,12,3-12,25%,2,0-2,0%
7,-17,1763,〇,1,2,1,3,5,31.8%,0,0,0,4,,陳又瑋,204,,4,,1,1,3,3,31.8%,2,5,16.9%,29:23,7,2-7,28.6%,4,1-4,25%,0,0-0,0%
17,-20,2072,〇,1,1,1,9,27,56.7%,0,1,6,2,,班森,205,,6,,2,1,1,15,55.1%,7,6,19.8%,34:32,13,7-13,53.8%,2,1-2,50%,1,0-1,0%
6,-11,1580,,3,2,1,1,2,30%,0,0,2,3,,王律翔,211,,8,,0,0,5,3,30%,3,2,20.5%,26:20,5,3-5,60%,5,0-5,0%,0,0-0,0%
3,-3,961,,3,1,1,5,7,150%,0,0,0,2,,王柏智,89,,10,,0,1,0,5,150%,0,0,10.2%,16:01,0,0-0,0%,1,1-1,100%,0,0-0,0%
0,-1,710,,2,2,0,1,-1,0%,0,0,0,0,,林均濠,206,,11,,0,0,1,1,0%,0,1,14.9%,11:50,1,0-1,0%,1,0-1,0%,0,0-0,0%
0,-9,477,,1,1,0,0,-1,0%,0,0,1,0,,鄭德維,207,,12,,0,0,1,1,0%,0,1,17.6%,07:57,1,0-1,0%,1,0-1,0%,0,0-0,0%
13,-25,2056,〇,2,1,0,2,3,40.6%,0,0,0,1,,呂政儒,208,,13,,0,3,8,2,40.6%,2,3,21.7%,34:16,5,2-5,40%,11,3-11,27.3%,0,0-0,0%
3,-2,275,,1,0,0,0,1,50%,1,1,0,1,,盧哲毅,83,,15,,1,0,1,0,52.1%,1,0,39.7%,04:35,1,1-1,100%,1,0-1,0%,2,1-2,50%
12,-6,1302,〇,3,0,1,3,9,50%,0,0,2,0,,藍少甫,209,,23,,1,2,4,5,50%,3,3,29.3%,21:42,6,3-6,50%,6,2-6,33.3%,0,0-0,0%
0,2,234,,0,1,0,0,1,0%,0,0,0,0,,彭俊諺,70,,63,G,1,0,1,0,0%,0,0,13.7%,03:54,0,0-0,0%,1,0-1,0%,0,0-0,0%
