points,positive,seconds,starter,turnover,ast,blk,reb_d,eff,efgp,ft_m,ft_a,reb_o,pfoul,profile_picture,name_alt,player_id,name,jersey,position,stl,trey_m,trey_a,reb,tsp,two_m,two_a,ugp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
26,-1,1787,〇,2,3,2,7,29,55.6%,6,1,1,1,,羅賓森,247,,0,,1,0,2,8,61.7%,10,6,34.7%,29:47,16,10-16,62.5%,2,0-2,0%,7,6-7,85.7%
22,-10,2157,〇,1,2,1,4,23,53.1%,5,2,2,1,,喬丹,220,Jordan Tolbert,1,,3,1,3,6,57.7%,7,5,25%,35:57,12,7-12,58.3%,4,1-4,25%,7,5-7,71.4%
6,-9,1485,〇,1,2,0,0,5,50%,0,0,2,4,,吳家駿,215,,3,G,0,2,3,2,50%,0,1,12.7%,24:45,1,0-1,0%,5,2-5,40%,0,0-0,0%
7,-2,870,,2,2,0,1,11,70%,0,1,3,1,,施顏宗,214,,5,G,3,1,1,4,64.3%,2,1,23.1%,14:30,3,2-3,66.7%,2,1-2,50%,1,0-1,0%
11,2,1395,,3,7,0,2,19,91.7%,0,0,1,3,,關達祐,58,,6,G,3,3,0,3,91.7%,1,2,17%,23:15,3,1-3,33.3%,3,3-3,100%,0,0-0,0%
0,-19,1076,〇,1,2,1,1,3,0%,0,0,1,2,,林耀宗,59,,7,G,0,0,0,2,0%,0,1,5.1%,17:56,1,0-1,0%,0,0-0,0%,0,0-0,0%
,,,,,,,,,,,,,,,李家慷,218,,12,,,,,,,,,,DNP,,,,,,,,,
1,-6,981,,3,1,0,2,-1,0%,1,1,0,3,,陳昱瑞,219,,13,,1,0,1,2,17.4%,0,1,16%,16:21,1,0-1,0%,1,0-1,0%,2,1-2,50%
,,,,,,,,,,,,,,,黃泓瀚,221,,22,,,,,,,,,,DNP,,,,,,,,,
8,-10,1451,〇,0,2,1,3,9,44.4%,0,0,1,3,,施晉堯,65,,28,G,0,2,5,4,44.4%,1,1,16.3%,24:11,2,1-2,50%,7,2-7,28.6%,0,0-0,0%
8,18,1546,,1,1,1,2,10,50%,1,1,2,1,,陳冠全,67,,30,G,2,1,1,4,50.8%,2,3,15.5%,25:46,5,2-5,40%,2,1-2,50%,2,1-2,50%
0,0,67,,0,0,0,0,0,0%,0,0,0,2,,溫立煌,225,,45,,0,0,0,0,0%,0,0,0%,01:07,0,0-0,0%,0,0-0,0%,0,0-0,0%
15,2,1585,,0,3,0,1,7,41.2%,1,1,0,0,,盧峻翔,226,,69,,1,4,6,1,41.9%,1,6,29.9%,26:25,7,1-7,14.3%,10,4-10,40%,2,1-2,50%
