points,positive,seconds,starter,turnover,ast,blk,reb_d,eff,efgp,ft_m,ft_a,reb_o,pfoul,profile_picture,name_alt,player_id,name,jersey,position,stl,trey_m,trey_a,reb,tsp,two_m,two_a,ugp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
2,8,973,〇,0,1,0,1,2,16.7%,0,0,2,0,,林明毅,156,,3,,1,0,1,3,16.7%,1,4,15.1%,16:13,5,1-5,20%,1,0-1,0%,0,0-0,0%
5,-8,1163,,3,2,0,5,5,31.3%,0,0,1,4,,高國豪,84,,4,,1,1,3,6,31.3%,1,3,23.2%,19:23,4,1-4,25%,4,1-4,25%,0,0-0,0%
,,,,,,,,,,,,,,,宋宇軒,75,,5,,,,,,,,,,DNP,,,,,,,,,
12,3,1780,,1,1,0,1,11,68.8%,1,0,0,5,,陳堅恩,73,,6,,2,3,3,1,71.1%,1,1,13.1%,29:40,2,1-2,50%,6,3-6,50%,1,1-1,100%
3,-7,1138,,1,0,0,1,-3,25%,0,1,0,2,,朱雲豪,223,,8,,0,1,4,1,23.3%,0,1,16.6%,18:58,1,0-1,0%,5,1-5,20%,1,0-1,0%
,,,,,,,,,,,,,,,田浩,82,,9,,,,,,,,,,DNP,,,,,,,,,
0,-2,67,,0,1,0,1,1,0%,0,0,0,0,,蕭順議,80,,11,,0,0,1,1,0%,0,0,40.1%,01:07,0,0-0,0%,1,0-1,0%,0,0-0,0%
0,-8,1735,〇,0,2,2,1,4,0%,0,0,1,0,,李家瑞,79,,12,,1,0,2,2,0%,0,1,4.3%,28:55,1,0-1,0%,2,0-2,0%,0,0-0,0%
21,-10,2178,〇,1,3,1,8,21,32%,5,5,8,2,,大勝,157,,22,,3,0,1,16,35.7%,8,16,33.9%,36:18,24,8-24,33.3%,1,0-1,0%,10,5-10,50%
7,-1,705,,1,0,0,2,4,50%,0,0,0,1,,郭少傑,47,,24,,0,1,3,2,50%,2,1,29.2%,11:45,3,2-3,66.7%,4,1-4,25%,0,0-0,0%
17,-1,2248,〇,7,0,3,17,28,40%,5,3,10,4,,辛巴,246,,35,,0,0,0,27,45.9%,6,9,27.7%,37:28,15,6-15,40%,0,0-0,0%,8,5-8,62.5%
9,-3,1926,〇,0,5,0,0,6,23.1%,3,1,2,2,,林宜輝,224,,36,,1,0,5,2,30.5%,3,5,18.5%,32:06,8,3-8,37.5%,5,0-5,0%,4,3-4,75%
2,-1,487,,1,0,0,2,2,50%,0,0,0,3,,吳岱豪,71,,54,,0,0,0,2,50%,1,1,15.1%,08:07,2,1-2,50%,0,0-0,0%,0,0-0,0%
