points,positive,seconds,starter,turnover,ast,blk,reb_d,eff,efgp,ft_m,ft_a,reb_o,pfoul,profile_picture,name_alt,player_id,name,jersey,position,stl,trey_m,trey_a,reb,tsp,two_m,two_a,ugp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
3,-13,1163,,1,0,0,5,3,30%,0,0,0,2,,李盈鋒,287,,1,,0,1,2,5,30%,0,2,14.5%,19:23,2,0-2,0%,3,1-3,33.3%,0,0-0,0%
8,-1,623,,1,4,0,0,7,58.3%,1,1,0,1,,林仕軒,231,,2,,0,1,3,0,58.1%,2,0,36.2%,10:23,2,2-2,100%,4,1-4,25%,2,1-2,50%
0,3,667,,1,0,1,0,-1,0%,0,0,0,2,,陳俊男,232,,3,,2,0,2,0,0%,0,1,16.7%,11:07,1,0-1,0%,2,0-2,0%,0,0-0,0%
24,-18,1946,〇,3,1,0,3,17,56.7%,7,2,1,1,,楊敬敏,87,,6,,0,1,3,4,63.3%,7,4,31.5%,32:26,11,7-11,63.6%,4,1-4,25%,9,7-9,77.8%
5,-5,1240,〇,1,4,0,2,6,33.3%,1,1,0,1,,李愷諺,233,,9,,1,0,3,2,36.3%,2,1,18.1%,20:40,3,2-3,66.7%,3,0-3,0%,2,1-2,50%
0,-21,787,,6,0,0,1,-5,0%,0,0,0,0,,簡祐哲,234,,10,,2,0,2,1,0%,0,0,28.3%,13:07,0,0-0,0%,2,0-2,0%,0,0-0,0%
6,2,1259,〇,1,1,0,2,0,15%,3,1,1,3,,洪楷傑,235,,11,,1,1,5,3,25.5%,0,4,29.3%,20:59,4,0-4,0%,6,1-6,16.7%,4,3-4,75%
4,3,436,,1,0,0,0,2,66.7%,0,0,0,0,,曾于豪,236,,15,,0,0,0,0,66.7%,2,1,26.3%,07:16,3,2-3,66.7%,0,0-0,0%,0,0-0,0%
2,-18,1184,,0,3,0,2,5,0%,2,0,0,1,,洪志善,237,,24,,0,0,2,2,34.7%,0,0,7%,19:44,0,0-0,0%,2,0-2,0%,2,2-2,100%
0,-15,636,,0,1,1,3,5,0%,0,0,2,1,,聶歐瑪,238,,25,,0,0,0,5,0%,0,2,9.2%,10:36,2,0-2,0%,0,0-0,0%,0,0-0,0%
14,-9,1210,,0,1,1,1,14,66.7%,2,1,1,0,,張文平,239,,28,,2,4,4,2,67.8%,0,1,23.7%,20:10,1,0-1,0%,8,4-8,50%,3,2-3,66.7%
5,-6,1209,〇,0,0,0,0,5,66.7%,1,1,0,1,,楊興治,228,,33,,2,0,0,0,64.4%,2,1,8.9%,20:09,3,2-3,66.7%,0,0-0,0%,2,1-2,50%
9,-2,2040,〇,4,2,0,10,16,50%,1,1,2,0,,里金斯,254,,34,,3,2,3,12,50.7%,1,2,17.4%,34:00,3,1-3,33.3%,5,2-5,40%,2,1-2,50%
