points,positive,seconds,starter,turnover,ast,blk,reb_d,eff,efgp,ft_m,ft_a,reb_o,pfoul,profile_picture,name_alt,player_id,name,jersey,position,stl,trey_m,trey_a,reb,tsp,two_m,two_a,ugp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
5,5,1038,,1,0,0,6,5,25%,1,0,1,1,,陳振傑,148,,0,,0,0,3,7,29.6%,2,3,23.3%,17:18,5,2-5,40%,3,0-3,0%,1,1-1,100%
5,-2,2315,〇,0,2,0,2,4,22.7%,0,0,2,3,,成力煥,72,,7,,2,1,5,4,22.7%,1,4,12.2%,38:35,5,1-5,20%,6,1-6,16.7%,0,0-0,0%
,,,,,,,,,,,,,,,王振原,227,,8,,,,,,,,,,DNP,,,,,,,,,
9,0,1842,〇,3,4,0,4,9,26.9%,2,0,2,1,,吳永盛,229,,14,,3,1,6,6,32.4%,2,4,23.6%,30:42,6,2-6,33.3%,7,1-7,14.3%,2,2-2,100%
0,7,333,,0,0,0,2,2,0%,0,0,0,1,,楊盛硯,93,,18,,0,0,0,2,0%,0,0,0%,05:33,0,0-0,0%,0,0-0,0%,0,0-0,0%
13,5,1374,,3,0,0,2,11,62.5%,3,0,3,4,,簡浩,222,,21,,0,2,3,5,69.7%,2,1,23.5%,22:54,3,2-3,66.7%,5,2-5,40%,3,3-3,100%
4,-4,1721,〇,2,3,1,4,7,20%,2,0,1,6,,錢肯尼,149,,23,,0,0,2,5,34%,1,2,11.8%,28:41,3,1-3,33.3%,2,0-2,0%,2,2-2,100%
13,6,1995,〇,1,1,1,5,13,40.9%,4,1,0,4,,忻沃克,155,Randall Walko,24,,2,1,4,5,49.2%,3,3,18.1%,33:15,6,3-6,50%,5,1-5,20%,5,4-5,80%
,,,,,,,,,,,,,,,李德威,94,,26,,,,,,,,,,DNP,,,,,,,,,
,,,,,,,,,,,,,,,吳松蔚,95,,30,,,,,,,,,,DNP,,,,,,,,,
28,-1,2207,〇,0,2,3,4,25,43.8%,7,5,5,0,,揚科維奇,259,,33,,2,1,4,9,47.8%,9,10,34.2%,36:47,19,9-19,47.4%,5,1-5,20%,12,7-12,58.3%
15,9,1575,,0,2,1,7,22,54.5%,3,2,3,1,,布依德,213,,42,,1,0,4,10,56.8%,6,1,21.3%,26:15,7,6-7,85.7%,4,0-4,0%,5,3-5,60%
,,,,,,,,,,,,,,,鄭子洋,242,,97,,,,,,,,,,DNP,,,,,,,,,
