points,positive,seconds,starter,turnover,ast,blk,reb_d,eff,efgp,ft_m,ft_a,reb_o,pfoul,profile_picture,name_alt,player_id,name,jersey,position,stl,trey_m,trey_a,reb,tsp,two_m,two_a,ugp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
23,-1,2104,〇,2,1,2,14,28,50%,4,2,1,2,,羅賓森,247,,0,,1,1,3,15,53.1%,8,7,30.1%,35:04,15,8-15,53.3%,4,1-4,25%,6,4-6,66.7%
25,18,2035,〇,1,2,0,13,35,71.9%,2,3,3,2,,喬丹,220,Jordan Tolbert,1,,1,1,1,16,68.7%,10,4,25.9%,33:55,14,10-14,71.4%,2,1-2,50%,5,2-5,40%
9,4,2257,〇,0,3,0,0,11,50%,0,0,2,4,,吳家駿,215,,3,G,2,1,2,2,50%,3,3,10.8%,37:37,6,3-6,50%,3,1-3,33.3%,0,0-0,0%
2,1,423,,1,0,0,1,1,0%,2,2,0,0,,施顏宗,214,,5,G,1,0,0,1,56.8%,0,0,17.5%,07:03,0,0-0,0%,0,0-0,0%,4,2-4,50%
0,-2,125,,1,0,0,0,-1,0%,0,0,0,1,,關達祐,58,,6,G,0,0,0,0,0%,0,0,22.2%,02:05,0,0-0,0%,0,0-0,0%,0,0-0,0%
,,,,,,,,,,,,,,,林耀宗,59,,7,,,,,,,,,,DNP,,,,,,,,,
2,9,436,,1,2,0,2,2,16.7%,0,0,1,3,,李家慷,218,,12,G,1,0,2,3,16.7%,1,3,44.5%,07:16,4,1-4,25%,2,0-2,0%,0,0-0,0%
11,24,1335,,1,0,0,3,8,58.3%,4,3,0,0,,陳昱瑞,219,,13,,1,1,2,3,60.6%,2,1,20.4%,22:15,3,2-3,66.7%,3,1-3,33.3%,7,4-7,57.1%
0,0,573,〇,0,0,0,1,0,0%,0,0,0,5,,林正,64,,25,,0,0,0,1,0%,0,1,4.9%,09:33,1,0-1,0%,0,0-0,0%,0,0-0,0%
7,9,1686,〇,1,3,0,1,7,60%,1,1,0,3,,施晉堯,65,,28,G,1,2,0,1,59.5%,0,3,10.9%,28:06,3,0-3,0%,2,2-2,100%,2,1-2,50%
3,-4,1485,,3,2,0,3,2,16.7%,1,1,3,5,,陳冠全,67,,30,G,0,0,2,6,21.8%,1,3,18.3%,24:45,4,1-4,25%,2,0-2,0%,2,1-2,50%
2,6,517,,1,1,0,2,5,100%,0,0,1,3,,溫立煌,225,,45,,0,0,0,3,100%,1,0,11.1%,08:37,1,1-1,100%,0,0-0,0%,0,0-0,0%
13,4,1424,,2,0,0,1,4,50%,0,1,0,0,,盧峻翔,226,,69,,0,1,3,1,48.4%,5,4,29.9%,23:44,9,5-9,55.6%,4,1-4,25%,1,0-1,0%
