points,positive,seconds,starter,turnover,ast,blk,reb_d,eff,efgp,ft_m,ft_a,reb_o,pfoul,profile_picture,name_alt,player_id,name,jersey,position,stl,trey_m,trey_a,reb,tsp,two_m,two_a,ugp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
28,10,1760,〇,3,3,1,12,35,54.2%,2,0,6,4,,羅賓森,247,,0,,0,2,1,18,56.3%,10,11,41.3%,29:20,21,10-21,47.6%,3,2-3,66.7%,2,2-2,100%
14,22,2293,〇,1,13,1,10,39,63.6%,0,1,4,2,,喬丹,220,Jordan Tolbert,1,,3,0,0,14,61.2%,7,4,14.1%,38:13,11,7-11,63.6%,0,0-0,0%,1,0-1,0%
11,18,2311,〇,0,5,0,2,15,50%,0,0,2,1,,吳家駿,215,,3,G,1,1,2,4,50%,4,4,12.4%,38:31,8,4-8,50%,3,1-3,33.3%,0,0-0,0%
,,,,,,,,,,,,,,,施顏宗,214,,5,,,,,,,,,,DNP,,,,,,,,,
6,-2,1399,,2,3,1,1,9,50%,1,1,1,3,,關達祐,58,,6,G,3,1,1,2,51%,1,2,14.7%,23:19,3,1-3,33.3%,2,1-2,50%,2,1-2,50%
,,,,,,,,,,,,,,,林耀宗,59,,7,,,,,,,,,,DNP,,,,,,,,,
0,-1,980,,1,0,0,1,-3,0%,0,0,0,2,,李家慷,218,,12,G,0,0,2,1,0%,0,1,10.7%,16:20,1,0-1,0%,2,0-2,0%,0,0-0,0%
20,22,2125,〇,1,4,0,8,30,69.2%,2,0,2,5,,陳昱瑞,219,,13,,2,2,1,10,72%,6,4,18.2%,35:25,10,6-10,60%,3,2-3,66.7%,2,2-2,100%
,,,,,,,,,,,,,,,林正,64,,25,,,,,,,,,,DNP,,,,,,,,,
18,8,1825,〇,0,0,0,2,13,60%,0,0,0,3,,施晉堯,65,,28,G,1,4,4,2,60%,3,4,21.5%,30:25,7,3-7,42.9%,8,4-8,50%,0,0-0,0%
10,-1,1209,,3,2,0,2,4,45%,1,2,1,0,,陳冠全,67,,30,G,0,1,2,3,44.2%,3,4,30.7%,20:09,7,3-7,42.9%,3,1-3,33.3%,3,1-3,33.3%
2,-1,498,,1,0,0,1,0,33.3%,0,1,1,0,,溫立煌,225,,45,,0,0,0,2,29.1%,1,2,23.8%,08:18,3,1-3,33.3%,0,0-0,0%,1,0-1,0%
,,,,,,,,,,,,,,,盧峻翔,226,,69,,,,,,,,,,DNP,,,,,,,,,
