points,positive,seconds,starter,turnover,ast,blk,reb_d,eff,efgp,ft_m,ft_a,reb_o,pfoul,profile_picture,name_alt,player_id,name,jersey,position,stl,trey_m,trey_a,reb,tsp,two_m,two_a,ugp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
6,6,850,,0,0,0,3,4,28.6%,2,0,0,3,,李盈鋒,287,,1,,0,0,2,3,38.1%,2,3,23.6%,14:10,5,2-5,40%,2,0-2,0%,2,2-2,100%
,,,,,,,,,,,,,,,林仕軒,231,,2,,,,,,,,,,DNP,,,,,,,,,
,,,,,,,,,,,,,,,陳俊男,232,,3,,,,,,,,,,DNP,,,,,,,,,
39,3,2116,〇,2,2,0,2,33,65.2%,9,1,0,2,,楊敬敏,87,,6,,3,4,6,2,71.2%,9,4,35.2%,35:16,13,9-13,69.2%,10,4-10,40%,10,9-10,90%
10,-1,2292,〇,5,3,0,3,9,36.4%,2,0,3,3,,李愷諺,233,,9,,2,0,3,6,42.1%,4,4,18.6%,38:12,8,4-8,50%,3,0-3,0%,2,2-2,100%
0,-3,212,,0,0,0,0,0,0%,0,0,0,1,,簡祐哲,234,,10,,0,0,0,0,0%,0,0,0%,03:32,0,0-0,0%,0,0-0,0%,0,0-0,0%
7,7,1814,〇,3,1,0,2,9,43.8%,0,0,3,3,,洪楷傑,235,,11,,4,1,4,5,43.8%,2,1,15.4%,30:14,3,2-3,66.7%,5,1-5,20%,0,0-0,0%
6,5,873,,0,1,0,1,7,75%,0,0,1,0,,洪志善,237,,24,,0,2,2,2,75%,0,0,12%,14:33,0,0-0,0%,4,2-4,50%,0,0-0,0%
,,,,,,,,,,,,,,,聶歐瑪,238,,25,,,,,,,,,,DNP,,,,,,,,,
2,1,697,,0,2,0,1,-3,11.1%,0,0,0,2,,張文平,239,,28,,0,0,7,1,11.1%,1,1,34.3%,11:37,2,1-2,50%,7,0-7,0%,0,0-0,0%
10,-6,2027,〇,2,2,0,4,7,20%,6,3,1,4,,里金斯,254,,34,,3,0,5,5,35.8%,2,3,20.3%,33:47,5,2-5,40%,5,0-5,0%,9,6-9,66.7%
18,6,2317,〇,1,1,2,9,25,54.2%,5,5,8,1,,湯瑪士,250,,40,,0,3,6,17,54.9%,2,1,19.2%,38:37,3,2-3,66.7%,9,3-9,33.3%,10,5-10,50%
0,7,1202,,0,1,3,7,8,0%,0,0,0,1,,戴維斯,69,,50,,0,0,2,7,0%,0,1,6.3%,20:02,1,0-1,0%,2,0-2,0%,0,0-0,0%
