points,positive,seconds,starter,turnover,ast,blk,reb_d,eff,efgp,ft_m,ft_a,reb_o,pfoul,profile_picture,name_alt,player_id,name,jersey,position,stl,trey_m,trey_a,reb,tsp,two_m,two_a,ugp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
28,-10,2476,〇,4,4,0,9,30,54.5%,4,1,2,1,,羅賓森,247,,0,,3,2,7,11,57.9%,9,4,33.2%,41:16,13,9-13,69.2%,9,2-9,22.2%,5,4-5,80%
22,-11,2207,,2,3,0,4,26,116.7%,1,0,0,3,,吳家駿,215,,3,G,0,5,0,4,116.5%,3,1,15.3%,36:47,4,3-4,75%,5,5-5,100%,1,1-1,100%
7,-7,1216,〇,2,1,1,8,14,62.5%,2,0,1,1,,施顏宗,214,,5,G,0,1,0,9,71.7%,1,2,16.6%,20:16,3,1-3,33.3%,1,1-1,100%,2,2-2,100%
8,7,1451,〇,1,2,0,1,6,35.7%,3,1,0,1,,關達祐,58,,6,G,2,1,1,1,45.7%,1,4,19.6%,24:11,5,1-5,20%,2,1-2,50%,4,3-4,75%
,,,,,,,,,,,,,,,林金榜,263,,9,,,,,,,,,,DNP,,,,,,,,,
9,2,991,,1,1,0,4,9,57.1%,1,1,1,2,,貝索維奇,257,,18,,0,2,0,5,57.1%,1,4,26.8%,16:31,5,1-5,20%,2,2-2,100%,2,1-2,50%
0,-7,79,,0,0,0,0,0,0%,0,0,0,0,,黃泓瀚,221,,22,,0,0,0,0,0%,0,0,0%,01:19,0,0-0,0%,0,0-0,0%,0,0-0,0%
5,4,726,〇,1,1,0,4,9,83.3%,0,0,1,5,,林正,64,,25,,0,1,0,5,83.3%,1,1,16.1%,12:06,2,1-2,50%,1,1-1,100%,0,0-0,0%
4,-12,1977,〇,1,5,0,4,4,16.7%,0,1,1,1,,施晉堯,65,,28,G,2,0,6,5,16.1%,2,4,20.3%,32:57,6,2-6,33.3%,6,0-6,0%,1,0-1,0%
8,-3,1758,,1,1,1,4,11,70%,1,1,0,0,,陳冠全,67,,30,G,1,1,0,4,68%,2,2,11.4%,29:18,4,2-4,50%,1,1-1,100%,2,1-2,50%
0,-2,99,,0,0,0,0,1,0%,0,0,0,1,,溫立煌,225,,45,,1,0,0,0,0%,0,0,0%,01:39,0,0-0,0%,0,0-0,0%,0,0-0,0%
6,4,1420,,3,2,0,0,0,42.9%,0,0,0,1,,盧峻翔,226,,69,,0,2,4,0,42.9%,0,1,21%,23:40,1,0-1,0%,6,2-6,33.3%,0,0-0,0%
