points,positive,seconds,starter,turnover,ast,blk,reb_d,eff,efgp,ft_m,ft_a,reb_o,pfoul,profile_picture,name_alt,player_id,name,jersey,position,stl,trey_m,trey_a,reb,tsp,two_m,two_a,ugp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
6,-3,615,,0,1,0,2,8,75%,0,0,1,3,,賴廷恩,40,,0,,0,2,1,3,75%,0,1,17.1%,10:15,1,0-1,0%,3,2-3,66.7%,0,0-0,0%
3,-5,1107,〇,0,4,0,3,2,12.5%,1,2,1,1,,林書緯,41,,1,,0,0,1,4,16.1%,1,6,22.1%,18:27,7,1-7,14.3%,1,0-1,0%,3,1-3,33.3%
3,2,378,,1,0,0,1,1,50%,0,0,0,0,,簡偉儒,42,,2,,0,1,1,1,50%,0,1,28.5%,06:18,1,0-1,0%,2,1-2,50%,0,0-0,0%
19,-1,2342,〇,1,7,0,7,19,35%,5,1,0,1,,張宗憲,43,,3,,2,2,5,7,42%,4,9,25.9%,39:02,13,4-13,30.8%,7,2-7,28.6%,6,5-6,83.3%
0,-9,223,,2,0,0,0,-3,0%,0,0,0,2,,周桂羽,46,,8,,0,0,0,0,0%,0,1,42.8%,03:43,1,0-1,0%,0,0-0,0%,0,0-0,0%
16,-11,1511,,2,1,0,2,15,50%,3,0,3,2,,林志傑,48,,12,,3,3,6,5,55.9%,2,2,27.9%,25:11,4,2-4,50%,9,3-9,33.3%,3,3-3,100%
2,-4,512,〇,0,0,0,1,3,33.3%,0,0,1,0,,林孟學,49,,13,,1,0,0,2,33.3%,1,2,16%,08:32,3,1-3,33.3%,0,0-0,0%,0,0-0,0%
0,5,487,,0,0,0,0,0,0%,0,0,0,0,,蔡文誠,50,,14,,0,0,0,0,0%,0,0,0%,08:07,0,0-0,0%,0,0-0,0%,0,0-0,0%
19,-3,2031,〇,1,3,0,7,24,44.1%,4,2,7,2,,辛特力,51,,17,,1,1,5,14,48.4%,6,5,26.7%,33:51,11,6-11,54.5%,6,1-6,16.7%,6,4-6,66.7%
0,-9,263,,0,0,0,0,-1,0%,0,0,0,0,,曾祥鈞,52,,21,,0,0,0,0,0%,0,1,10.7%,04:23,1,0-1,0%,0,0-0,0%,0,0-0,0%
3,2,697,,1,0,0,2,2,37.5%,0,0,0,1,,石博恩,53,,23,,1,1,3,2,37.5%,0,0,19.4%,11:37,0,0-0,0%,4,1-4,25%,0,0-0,0%
22,-4,2672,〇,0,1,0,8,29,76.9%,2,1,3,3,,塞瑟夫,54,,32,,0,2,3,11,76.8%,7,1,13.9%,44:32,8,7-8,87.5%,5,2-5,40%,3,2-3,66.7%
6,0,1562,,3,4,1,2,11,60%,0,0,1,4,,曾文鼎,56,,76,,2,0,1,3,60%,3,1,13.2%,26:02,4,3-4,75%,1,0-1,0%,0,0-0,0%
