points,positive,seconds,starter,turnover,ast,blk,reb_d,eff,efgp,ft_m,ft_a,reb_o,pfoul,profile_picture,name_alt,player_id,name,jersey,position,stl,trey_m,trey_a,reb,tsp,two_m,two_a,ugp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
,,,,,,,,,,,,,,,戴瑞騰,203,,0,,,,,,,,,,DNP,,,,,,,,,
22,-8,2422,〇,2,4,0,5,22,52.6%,2,3,2,1,,塔克,86,,1,,4,2,6,7,51.9%,7,4,27.8%,40:22,11,7-11,63.6%,8,2-8,25%,5,2-5,40%
8,-2,2261,〇,1,5,0,4,12,33.3%,2,0,0,1,,陳又瑋,204,,4,,2,0,3,4,40.5%,3,3,14.1%,37:41,6,3-6,50%,3,0-3,0%,2,2-2,100%
5,-12,1300,,1,0,0,1,-3,25%,0,0,0,1,,王律翔,211,,8,,0,1,5,1,25%,1,3,25.1%,21:40,4,1-4,25%,6,1-6,16.7%,0,0-0,0%
12,5,1342,,0,2,1,1,12,66.7%,0,3,3,3,,王柏智,89,,10,,0,2,2,4,58.1%,3,2,22.5%,22:22,5,3-5,60%,4,2-4,50%,3,0-3,0%
,,,,,,,,,,,,,,,林均濠,206,,11,,,,,,,,,,DNP,,,,,,,,,
0,-4,276,,0,0,0,0,0,0%,0,0,0,0,,鄭德維,207,,12,,1,0,0,0,0%,0,1,12%,04:36,1,0-1,0%,0,0-0,0%,0,0-0,0%
12,2,2396,〇,2,1,0,3,9,42.9%,0,0,2,2,,呂政儒,208,,13,,2,2,6,5,42.9%,3,3,19.6%,39:56,6,3-6,50%,8,2-8,25%,0,0-0,0%
0,-3,315,,0,0,0,0,0,0%,0,0,0,0,,盧哲毅,83,,15,,1,0,1,0,0%,0,0,9.6%,05:15,0,0-0,0%,1,0-1,0%,0,0-0,0%
11,-4,1356,〇,2,0,0,1,9,68.8%,0,2,3,4,,藍少甫,209,,23,,1,1,0,4,61.9%,4,3,23.7%,22:36,7,4-7,57.1%,1,1-1,100%,2,0-2,0%
12,-4,2447,〇,2,4,0,11,25,50%,0,0,3,2,,布朗,243,,24,,4,2,5,14,50%,3,2,16.8%,40:47,5,3-5,60%,7,2-7,28.6%,0,0-0,0%
,,,,,,,,,,,,,,,楊浩之,210,,34,,,,,,,,,,DNP,,,,,,,,,
0,-5,285,,1,1,0,0,-1,0%,0,0,0,2,,彭俊諺,70,,63,G,0,0,0,0,0%,0,1,23.9%,04:45,1,0-1,0%,0,0-0,0%,0,0-0,0%
