points,positive,seconds,starter,turnover,ast,blk,reb_d,eff,efgp,ft_m,ft_a,reb_o,pfoul,profile_picture,name_alt,player_id,name,jersey,position,stl,trey_m,trey_a,reb,tsp,two_m,two_a,ugp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
6,2,331,,2,0,0,1,5,100%,4,0,0,1,,賴廷恩,40,,0,,0,0,0,1,108.7%,1,0,41.9%,05:31,1,1-1,100%,0,0-0,0%,4,4-4,100%
15,5,1814,〇,0,4,1,3,15,40%,3,1,0,5,,林書緯,41,,1,,2,0,5,3,44.7%,6,4,24.6%,30:14,10,6-10,60%,5,0-5,0%,4,3-4,75%
10,5,1315,,0,1,0,1,8,57.1%,2,1,1,2,,簡偉儒,42,,2,,0,2,1,2,60.1%,1,3,17.4%,21:55,4,1-4,25%,3,2-3,66.7%,3,2-3,66.7%
18,8,2115,〇,4,4,0,0,2,30.4%,4,2,2,1,,張宗憲,43,,3,,1,2,5,2,35.1%,4,12,37.3%,35:15,16,4-16,25%,7,2-7,28.6%,6,4-6,66.7%
5,8,1064,,0,0,0,4,9,41.7%,0,0,1,0,,蔡文誠,50,,14,,3,1,1,5,41.7%,1,3,15.5%,17:44,4,1-4,25%,2,1-2,50%,0,0-0,0%
13,12,2588,〇,2,2,1,11,18,43.3%,0,0,1,4,,辛特力,51,,17,,2,3,5,12,43.3%,2,5,17.4%,43:08,7,2-7,28.6%,8,3-8,37.5%,0,0-0,0%
3,2,590,,1,0,0,3,5,100%,1,1,0,3,,曾祥鈞,52,,21,,1,0,0,3,79.8%,1,0,14.1%,09:50,1,1-1,100%,0,0-0,0%,2,1-2,50%
16,10,2367,〇,0,0,1,11,23,53.8%,2,2,4,1,,石博恩,53,,23,,0,2,3,15,54.2%,4,4,16.6%,39:27,8,4-8,50%,5,2-5,40%,4,2-4,50%
0,-4,232,,0,0,0,0,0,0%,0,0,0,1,,張耕淯,66,,29,,0,0,0,0,0%,0,0,0%,03:52,0,0-0,0%,0,0-0,0%,0,0-0,0%
6,2,1984,〇,3,0,0,4,8,50%,0,0,4,5,,德古拉,216,,75,,0,0,0,8,50%,3,3,12%,33:04,6,3-6,50%,0,0-0,0%,0,0-0,0%
