points,positive,seconds,starter,turnover,ast,blk,reb_d,eff,efgp,ft_m,ft_a,reb_o,pfoul,profile_picture,name_alt,player_id,name,jersey,position,stl,trey_m,trey_a,reb,tsp,two_m,two_a,ugp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
4,-14,1113,,0,0,0,2,1,25%,0,0,1,3,,陳振傑,148,,0,,0,0,4,3,25%,2,2,18.1%,18:33,4,2-4,50%,4,0-4,0%,0,0-0,0%
4,12,1225,〇,1,1,0,2,2,25%,1,1,2,3,,成力煥,72,,7,,0,1,3,4,29.1%,0,2,16.1%,20:25,2,0-2,0%,4,1-4,25%,2,1-2,50%
,,,,,,,,,,,,,,,王振原,227,,8,,,,,,,,,,DNP,,,,,,,,,
11,-5,2063,〇,5,9,0,3,15,45.8%,0,0,2,3,,林俊吉,90,,11,,2,1,4,5,45.8%,4,3,20.4%,34:23,7,4-7,57.1%,5,1-5,20%,0,0-0,0%
17,6,1167,,1,2,0,0,17,70.8%,0,0,1,1,,吳永盛,229,,14,,3,3,3,1,70.8%,4,2,27.9%,19:27,6,4-6,66.7%,6,3-6,50%,0,0-0,0%
0,-3,397,,0,0,0,0,-1,0%,0,0,0,1,,楊盛硯,93,,18,,0,0,0,0,0%,0,1,6.8%,06:37,1,0-1,0%,0,0-0,0%,0,0-0,0%
8,-4,1238,,1,1,0,3,9,66.7%,0,0,1,5,,簡浩,222,,21,,0,2,2,4,66.7%,1,1,14.3%,20:38,2,1-2,50%,4,2-4,50%,0,0-0,0%
8,-6,1573,〇,1,0,0,3,6,37.5%,2,0,2,5,,錢肯尼,149,,23,,0,2,1,5,45%,0,5,15.5%,26:13,5,0-5,0%,3,2-3,66.7%,2,2-2,100%
12,-2,1640,,0,1,1,4,15,46.2%,0,0,4,1,,忻沃克,155,Randall Walko,24,,1,2,3,8,46.2%,3,5,19.7%,27:20,8,3-8,37.5%,5,2-5,40%,0,0-0,0%
5,8,1110,,3,2,0,2,3,31.3%,0,0,2,1,,李德威,94,,26,,1,1,5,4,31.3%,1,1,24.9%,18:30,2,1-2,50%,6,1-6,16.7%,0,0-0,0%
4,-11,1276,〇,2,0,1,5,7,25%,2,0,2,1,,吉爾貝克,212,,34,,0,0,1,7,41%,1,2,13.4%,21:16,3,1-3,33.3%,1,0-1,0%,2,2-2,100%
16,-6,1598,〇,2,0,1,5,7,26.5%,7,2,2,3,,布依德,213,,42,,0,1,7,7,38.2%,3,6,36%,26:38,9,3-9,33.3%,8,1-8,12.5%,9,7-9,77.8%
,,,,,,,,,,,,,,,鄭子洋,242,,97,,,,,,,,,,DNP,,,,,,,,,
