points,positive,seconds,starter,turnover,ast,blk,reb_d,eff,efgp,ft_m,ft_a,reb_o,pfoul,profile_picture,name_alt,player_id,name,jersey,position,stl,trey_m,trey_a,reb,tsp,two_m,two_a,ugp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
,,,,,,,,,,,,,,,林明毅,156,,3,,,,,,,,,,DNP,,,,,,,,,
5,18,2154,〇,1,4,0,9,14,27.8%,0,0,1,4,,高國豪,84,,4,,3,1,2,10,27.8%,1,5,12.1%,35:54,6,1-6,16.7%,3,1-3,33.3%,0,0-0,0%
2,0,539,,0,0,0,1,2,33.3%,0,0,1,3,,陳堅恩,73,,6,,0,0,2,2,33.3%,1,0,15.9%,08:59,1,1-1,100%,2,0-2,0%,0,0-0,0%
20,15,1960,〇,6,3,0,5,15,50%,1,0,3,4,,法獅,244,,7,,1,3,4,8,51.4%,5,7,33.7%,32:40,12,5-12,41.7%,7,3-7,42.9%,1,1-1,100%
6,-1,1039,,1,0,0,0,2,40%,2,0,0,2,,朱雲豪,223,,8,,0,0,3,0,51%,2,0,17.2%,17:19,2,2-2,100%,3,0-3,0%,2,2-2,100%
0,-5,645,,0,3,0,2,5,0%,0,0,0,2,,田浩,82,,9,,0,0,0,2,0%,0,0,0%,10:45,0,0-0,0%,0,0-0,0%,0,0-0,0%
0,0,9,,0,0,0,0,0,0%,0,0,0,0,,蕭順議,80,,11,,0,0,0,0,0%,0,0,0%,00:09,0,0-0,0%,0,0-0,0%,0,0-0,0%
7,22,1928,〇,3,4,2,3,8,50%,2,2,0,2,,李家瑞,79,,12,,0,1,2,3,51.8%,1,1,12.9%,32:08,2,1-2,50%,3,1-3,33.3%,4,2-4,50%
2,-2,239,,1,0,0,0,1,50%,0,0,0,0,,郭少傑,47,,24,,1,0,0,0,50%,1,1,42.4%,03:59,2,1-2,50%,0,0-0,0%,0,0-0,0%
32,15,2558,〇,2,3,3,19,49,63.6%,4,7,8,1,,辛巴,246,,35,,1,0,0,27,59.6%,14,8,29.1%,42:38,22,14-22,63.6%,0,0-0,0%,11,4-11,36.4%
21,9,2390,〇,7,6,0,6,20,65.6%,0,1,2,2,,林宜輝,224,,36,,0,3,4,8,63.9%,6,3,25.5%,39:50,9,6-9,66.7%,7,3-7,42.9%,1,0-1,0%
0,-1,42,,0,0,1,0,1,0%,0,0,0,0,,容毅燊,78,,52,,0,0,0,0,0%,0,0,0%,00:42,0,0-0,0%,0,0-0,0%,0,0-0,0%
0,-10,897,,1,1,1,1,1,0%,0,2,1,2,,吳岱豪,71,,54,,1,0,0,2,0%,0,1,8.7%,14:57,1,0-1,0%,0,0-0,0%,2,0-2,0%
