points,positive,seconds,starter,turnover,ast,blk,reb_d,eff,efgp,ft_m,ft_a,reb_o,pfoul,profile_picture,name_alt,player_id,name,jersey,position,stl,trey_m,trey_a,reb,tsp,two_m,two_a,ugp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
,,,,,,,,,,,,,,,陳振傑,148,,0,,,,,,,,,,DNP,,,,,,,,,
4,2,788,,2,1,0,0,1,50%,0,0,0,2,,成力煥,72,,7,,0,0,1,0,50%,2,1,18.9%,13:08,3,2-3,66.7%,1,0-1,0%,0,0-0,0%
0,-1,130,,0,0,0,0,0,0%,0,0,0,0,,王振原,227,,8,,0,0,0,0,0%,0,0,0%,02:10,0,0-0,0%,0,0-0,0%,0,0-0,0%
8,-2,1348,,1,2,0,2,6,44.4%,0,0,0,2,,林俊吉,90,,11,,0,0,4,2,44.4%,4,1,18.6%,22:28,5,4-5,80%,4,0-4,0%,0,0-0,0%
5,-17,1402,〇,0,5,0,5,6,25%,1,5,1,2,,吳永盛,229,,14,,1,0,2,6,23.5%,2,4,18.9%,23:22,6,2-6,33.3%,2,0-2,0%,6,1-6,16.7%
21,-22,1905,〇,2,1,1,9,28,59.4%,2,0,6,2,,希克斯,154,,17,,0,3,3,15,62.2%,5,5,24.9%,31:45,10,5-10,50%,6,3-6,50%,2,2-2,100%
,,,,,,,,,,,,,,,楊盛硯,93,,18,,,,,,,,,,DNP,,,,,,,,,
15,-1,1507,,1,3,0,0,12,70%,1,0,0,6,,簡浩,222,,21,,0,4,5,0,71.8%,1,0,18.7%,25:07,1,1-1,100%,9,4-9,44.4%,1,1-1,100%
7,-20,2116,〇,0,1,0,3,4,29.2%,0,0,2,4,,錢肯尼,149,,23,,0,1,1,5,29.2%,2,8,14%,35:16,10,2-10,20%,2,1-2,50%,0,0-0,0%
11,-25,1968,〇,0,4,0,3,13,45.5%,1,1,2,1,,忻沃克,155,Randall Walko,24,,1,2,3,5,46.3%,2,4,15.2%,32:48,6,2-6,33.3%,5,2-5,40%,2,1-2,50%
14,7,1391,,1,1,1,2,11,50%,4,2,2,3,,李德威,94,,26,,0,2,2,4,55.4%,2,4,24.3%,23:11,6,2-6,33.3%,4,2-4,50%,6,4-6,66.7%
16,-21,1845,〇,2,2,0,4,15,31.6%,4,0,5,1,,布依德,213,,42,,3,0,4,9,38.5%,6,9,31.1%,30:45,15,6-15,40%,4,0-4,0%,4,4-4,100%
,,,,,,,,,,,,,,,鄭子洋,242,,97,,,,,,,,,,DNP,,,,,,,,,
