points,positive,seconds,starter,turnover,ast,blk,reb_d,eff,efgp,ft_m,ft_a,reb_o,pfoul,profile_picture,name_alt,player_id,name,jersey,position,stl,trey_m,trey_a,reb,tsp,two_m,two_a,ugp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
10,-5,1007,〇,0,1,0,0,10,71.4%,0,0,0,1,,高國豪,84,,4,,2,2,3,0,71.4%,2,0,18.7%,16:47,2,2-2,100%,5,2-5,40%,0,0-0,0%
0,5,406,,0,1,0,0,-2,0%,0,0,1,0,,宋宇軒,75,,5,,0,0,0,1,0%,0,4,28.5%,06:46,4,0-4,0%,0,0-0,0%,0,0-0,0%
3,-7,1028,,1,2,0,1,3,50%,0,0,0,5,,陳堅恩,73,,6,,0,1,2,1,50%,0,0,10%,17:08,0,0-0,0%,3,1-3,33.3%,0,0-0,0%
20,-12,1931,〇,2,0,0,6,14,42.5%,3,1,2,4,,法獅,244,,7,,2,3,6,8,46%,4,7,31.7%,32:11,11,4-11,36.4%,9,3-9,33.3%,4,3-4,75%
4,-17,1096,,2,1,1,2,1,30%,1,1,0,1,,朱雲豪,223,,8,,0,1,3,2,34%,0,1,18.7%,18:16,1,0-1,0%,4,1-4,25%,2,1-2,50%
0,-24,1268,,1,4,0,0,-2,0%,0,0,1,4,,田浩,82,,9,,0,0,3,1,0%,0,3,14.2%,21:08,3,0-3,0%,3,0-3,0%,0,0-0,0%
6,7,549,,1,0,0,1,0,0%,6,4,0,0,,蕭順議,80,,11,,0,0,0,1,46.9%,0,2,35.1%,09:09,2,0-2,0%,0,0-0,0%,10,6-10,60%
2,-12,1181,,0,1,0,3,3,25%,0,0,0,0,,李家瑞,79,,12,,0,0,3,3,25%,1,0,9%,19:41,1,1-1,100%,3,0-3,0%,0,0-0,0%
2,-2,969,〇,2,1,0,3,1,16.7%,0,0,2,2,,郭少傑,47,,24,,0,0,4,5,16.7%,1,1,21.3%,16:09,2,1-2,50%,4,0-4,0%,0,0-0,0%
18,-19,2200,〇,3,2,1,10,25,60%,6,4,5,2,,辛巴,246,,35,,0,0,0,15,62.5%,6,4,20.6%,36:40,10,6-10,60%,0,0-0,0%,10,6-10,60%
4,-22,1440,〇,6,2,1,4,-1,20%,0,0,0,2,,林宜輝,224,,36,,2,0,3,4,20%,2,5,28.5%,24:00,7,2-7,28.6%,3,0-3,0%,0,0-0,0%
3,-5,645,,1,1,1,0,4,75%,0,0,1,1,,容毅燊,78,,52,,0,1,0,1,75%,0,1,12.8%,10:45,1,0-1,0%,1,1-1,100%,0,0-0,0%
2,-2,680,,1,1,0,2,3,50%,0,0,0,3,,吳岱豪,71,,54,,0,0,1,2,50%,1,0,11.6%,11:20,1,1-1,100%,1,0-1,0%,0,0-0,0%
