points,positive,seconds,starter,turnover,ast,blk,reb_d,eff,efgp,ft_m,ft_a,reb_o,pfoul,profile_picture,name_alt,player_id,name,jersey,position,stl,trey_m,trey_a,reb,tsp,two_m,two_a,ugp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
29,2,1999,〇,3,2,2,5,25,54%,2,2,1,2,,羅賓森,247,,0,,3,1,4,6,54.2%,12,8,41.9%,33:19,20,12-20,60%,5,1-5,20%,4,2-4,50%
28,-17,2256,〇,1,2,0,12,36,71.1%,1,2,1,3,,喬丹,220,Jordan Tolbert,1,,4,5,4,13,68.9%,6,4,26.8%,37:36,10,6-10,60%,9,5-9,55.6%,3,1-3,33.3%
11,-7,2270,〇,1,6,0,3,15,61.1%,0,0,0,2,,吳家駿,215,,3,G,0,1,2,3,61.1%,4,2,12.6%,37:50,6,4-6,66.7%,3,1-3,33.3%,0,0-0,0%
,,,,,,,,,,,,,,,施顏宗,214,,5,,,,,,,,,,DNP,,,,,,,,,
0,1,1077,,3,6,1,0,5,0%,0,0,1,1,,關達祐,58,,6,G,1,0,1,1,0%,0,0,10.9%,17:57,0,0-0,0%,1,0-1,0%,0,0-0,0%
,,,,,,,,,,,,,,,林耀宗,59,,7,,,,,,,,,,DNP,,,,,,,,,
0,-6,120,,0,0,0,0,0,0%,0,0,0,0,,李家慷,218,,12,G,0,0,0,0,0%,0,0,0%,02:00,0,0-0,0%,0,0-0,0%,0,0-0,0%
4,-8,1714,〇,0,1,0,6,10,66.7%,0,2,1,2,,陳昱瑞,219,,13,,1,0,0,7,51.5%,2,1,6.4%,28:34,3,2-3,66.7%,0,0-0,0%,2,0-2,0%
,,,,,,,,,,,,,,,林正,64,,25,,,,,,,,,,DNP,,,,,,,,,
0,-2,1893,〇,2,4,0,2,-3,0%,0,0,1,0,,施晉堯,65,,28,G,0,0,4,3,0%,0,4,15%,31:33,4,0-4,0%,4,0-4,0%,0,0-0,0%
2,-2,1326,,1,3,0,2,1,16.7%,0,1,1,2,,陳冠全,67,,30,G,0,0,1,3,15.5%,1,4,15.7%,22:06,5,1-5,20%,1,0-1,0%,1,0-1,0%
0,-3,165,,0,0,0,0,-1,0%,0,0,0,0,,溫立煌,225,,45,,0,0,0,0,0%,0,1,23.2%,02:45,1,0-1,0%,0,0-0,0%,0,0-0,0%
16,-13,1580,,3,0,0,3,11,58.3%,2,0,0,3,,盧峻翔,226,,69,,1,2,5,3,62.1%,4,1,28.4%,26:20,5,4-5,80%,7,2-7,28.6%,2,2-2,100%
