points,positive,seconds,starter,turnover,ast,blk,reb_d,eff,efgp,ft_m,ft_a,reb_o,pfoul,profile_picture,name_alt,player_id,name,jersey,position,stl,trey_m,trey_a,reb,tsp,two_m,two_a,ugp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
4,8,831,,0,0,0,1,2,25%,0,0,2,1,,李盈鋒,287,,1,,1,0,3,3,25%,2,3,27.3%,13:51,5,2-5,40%,3,0-3,0%,0,0-0,0%
0,-9,751,,0,1,0,2,0,0%,0,2,0,3,,林仕軒,231,,2,,0,0,1,2,0%,0,0,7%,12:31,0,0-0,0%,1,0-1,0%,2,0-2,0%
,,,,,,,,,,,,,,,陳俊男,232,,3,,,,,,,,,,DNP,,,,,,,,,
16,14,2004,〇,0,2,0,3,16,46.4%,3,0,0,0,,楊敬敏,87,,6,,3,1,6,3,52.2%,5,2,20.6%,33:24,7,5-7,71.4%,7,1-7,14.3%,3,3-3,100%
,,,,,,,,,,,,,,,林力仁,76,,7,,,,,,,,,,DNP,,,,,,,,,
16,22,1985,〇,5,5,0,6,19,50%,1,1,1,2,,李愷諺,233,,9,,5,1,2,7,50.4%,6,6,28.1%,33:05,12,6-12,50%,3,1-3,33.3%,2,1-2,50%
5,8,1107,,0,0,0,1,6,83.3%,0,0,0,1,,簡祐哲,234,,10,,1,1,1,1,83.3%,1,0,7.4%,18:27,1,1-1,100%,2,1-2,50%,0,0-0,0%
2,-4,460,,4,2,0,1,1,33.3%,0,0,2,1,,洪楷傑,235,,11,,0,0,1,3,33.3%,1,1,44.4%,07:40,2,1-2,50%,1,0-1,0%,0,0-0,0%
2,-7,634,,2,0,0,1,1,25%,0,0,2,0,,張文平,239,,28,,1,0,1,3,25%,1,2,26.7%,10:34,3,1-3,33.3%,1,0-1,0%,0,0-0,0%
10,-4,1308,〇,2,0,1,0,6,66.7%,2,1,0,2,,楊興治,228,,33,,0,0,0,0,68.3%,4,2,19.7%,21:48,6,4-6,66.7%,0,0-0,0%,3,2-3,66.7%
14,0,1904,〇,0,2,0,3,16,68.8%,3,1,0,1,,里金斯,254,,34,,1,1,3,3,71.7%,4,0,14%,31:44,4,4-4,100%,4,1-4,25%,4,3-4,75%
11,15,2172,〇,3,3,1,12,23,42.3%,0,0,7,1,,湯瑪士,250,,40,,0,1,3,19,42.3%,4,5,19.7%,36:12,9,4-9,44.4%,4,1-4,25%,0,0-0,0%
15,7,1244,,1,0,1,1,14,83.3%,0,2,2,1,,戴維斯,69,,50,,1,3,1,3,75.9%,3,2,24.2%,20:44,5,3-5,60%,4,3-4,75%,2,0-2,0%
