points,positive,seconds,starter,turnover,ast,blk,reb_d,eff,efgp,ft_m,ft_a,reb_o,pfoul,profile_picture,name_alt,player_id,name,jersey,position,stl,trey_m,trey_a,reb,tsp,two_m,two_a,ugp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
26,3,2222,〇,2,2,1,13,28,41.3%,7,1,1,3,,羅賓森,247,,0,,2,1,3,14,49%,8,11,35.2%,37:02,19,8-19,42.1%,4,1-4,25%,8,7-8,87.5%
17,-1,2030,〇,0,2,2,5,24,46.9%,2,0,3,1,,喬丹,220,Jordan Tolbert,1,,4,1,4,8,50.4%,6,5,23.3%,33:50,11,6-11,54.5%,5,1-5,20%,2,2-2,100%
2,-14,2153,〇,2,2,0,1,-1,20%,0,0,0,3,,吳家駿,215,,3,G,0,0,2,1,20%,1,2,9.1%,35:53,3,1-3,33.3%,2,0-2,0%,0,0-0,0%
,,,,,,,,,,,,,,,施顏宗,214,,5,,,,,,,,,,DNP,,,,,,,,,
12,3,1600,,3,5,1,2,15,78.6%,1,1,1,3,,關達祐,58,,6,G,1,3,1,3,76.1%,1,2,19.1%,26:40,3,1-3,33.3%,4,3-4,75%,2,1-2,50%
,,,,,,,,,,,,,,,林耀宗,59,,7,,,,,,,,,,DNP,,,,,,,,,
,,,,,,,,,,,,,,,李家慷,218,,12,,,,,,,,,,DNP,,,,,,,,,
3,2,1209,〇,0,2,0,3,7,37.5%,0,0,0,2,,陳昱瑞,219,,13,,2,1,0,3,37.5%,0,3,9.1%,20:09,3,0-3,0%,1,1-1,100%,0,0-0,0%
6,-23,2227,〇,0,1,0,2,0,25%,0,0,0,2,,施晉堯,65,,28,G,0,0,4,2,25%,3,5,14.8%,37:07,8,3-8,37.5%,4,0-4,0%,0,0-0,0%
2,-12,1287,,0,0,0,0,-1,25%,0,0,0,0,,陳冠全,67,,30,G,0,0,1,0,25%,1,2,8.7%,21:27,3,1-3,33.3%,1,0-1,0%,0,0-0,0%
,,,,,,,,,,,,,,,溫立煌,225,,45,,,,,,,,,,DNP,,,,,,,,,
14,-3,1672,,3,0,0,3,8,33.3%,2,0,2,1,,盧峻翔,226,,69,,5,2,4,5,37.1%,3,9,37%,27:52,12,3-12,25%,6,2-6,33.3%,2,2-2,100%
