points,positive,seconds,starter,turnover,ast,blk,reb_d,eff,efgp,ft_m,ft_a,reb_o,pfoul,profile_picture,name_alt,player_id,name,jersey,position,stl,trey_m,trey_a,reb,tsp,two_m,two_a,ugp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
12,-3,2220,〇,3,3,0,6,10,46.2%,0,0,0,1,,林書緯,41,,1,,0,2,8,6,46.2%,3,0,21.7%,37:00,3,3-3,100%,10,2-10,20%,0,0-0,0%
3,11,521,,0,0,0,1,3,50%,0,0,0,0,,簡偉儒,42,,2,,1,1,2,1,50%,0,0,18.9%,08:41,0,0-0,0%,3,1-3,33.3%,0,0-0,0%
3,-10,1341,〇,1,2,0,1,0,25%,0,0,0,1,,張宗憲,43,,3,,0,1,2,1,25%,0,3,16%,22:21,3,0-3,0%,3,1-3,33.3%,0,0-0,0%
0,5,340,,1,1,0,0,-1,0%,0,0,0,1,,周桂羽,46,,8,,0,0,0,0,0%,0,1,20.1%,05:40,1,0-1,0%,0,0-0,0%,0,0-0,0%
15,25,1448,,2,2,0,9,24,93.8%,0,0,2,2,,林志傑,48,,12,,0,3,2,11,93.8%,3,0,20.9%,24:08,3,3-3,100%,5,3-5,60%,0,0-0,0%
5,-7,988,〇,1,0,0,0,2,50%,1,1,1,2,,林孟學,49,,13,,0,0,0,1,51.2%,2,2,18.5%,16:28,4,2-4,50%,0,0-0,0%,2,1-2,50%
0,0,91,,0,0,0,1,-1,0%,0,2,0,0,,蔡文誠,50,,14,,0,0,0,1,0%,0,0,44.2%,01:31,0,0-0,0%,0,0-0,0%,2,0-2,0%
17,12,2448,〇,2,6,0,8,20,43.8%,3,1,2,2,,辛特力,51,,17,,0,2,8,10,47.9%,4,2,24.8%,40:48,6,4-6,66.7%,10,2-10,20%,4,3-4,75%
2,3,523,,1,0,0,1,1,0%,2,0,0,0,,曾祥鈞,52,,21,,0,0,0,1,53.2%,0,1,18.1%,08:43,1,0-1,0%,0,0-0,0%,2,2-2,100%
5,10,1273,,3,1,1,5,9,83.3%,0,0,1,3,,石博恩,53,,23,,0,1,1,6,83.3%,1,0,14.4%,21:13,1,1-1,100%,2,1-2,50%,0,0-0,0%
0,5,231,,0,0,0,0,0,0%,0,0,0,0,,張耕淯,66,,29,,0,0,0,0,0%,0,0,0%,03:51,0,0-0,0%,0,0-0,0%,0,0-0,0%
16,12,2022,〇,1,0,0,7,15,54.2%,3,2,1,4,,塞瑟夫,54,,32,,0,1,1,8,56.3%,5,5,23.2%,33:42,10,5-10,50%,2,1-2,50%,5,3-5,60%
5,12,954,,2,2,0,2,4,50%,1,1,0,2,,曾文鼎,56,,76,,0,0,2,2,51.2%,2,0,23.1%,15:54,2,2-2,100%,2,0-2,0%,2,1-2,50%
