points,positive,seconds,starter,turnover,ast,blk,reb_d,eff,efgp,ft_m,ft_a,reb_o,pfoul,profile_picture,name_alt,player_id,name,jersey,position,stl,trey_m,trey_a,reb,tsp,two_m,two_a,ugp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
10,21,999,,0,1,0,3,12,71.4%,0,0,1,2,,陳振傑,148,,0,,0,2,2,4,71.4%,2,1,18.4%,16:39,3,2-3,66.7%,4,2-4,50%,0,0-0,0%
16,24,1604,〇,0,2,0,5,22,66.7%,4,1,4,2,,成力煥,72,,7,,0,2,2,9,71.4%,3,2,18.1%,26:44,5,3-5,60%,4,2-4,50%,5,4-5,80%
0,-3,167,,0,0,0,1,-1,0%,0,0,0,0,,王振原,227,,8,,0,0,0,1,0%,0,2,42.1%,02:47,2,0-2,0%,0,0-0,0%,0,0-0,0%
8,18,1881,〇,1,4,0,1,10,50%,1,1,1,1,,吳永盛,229,,14,,2,1,3,2,50.8%,2,1,12.1%,31:21,3,2-3,66.7%,4,1-4,25%,2,1-2,50%
0,28,1325,,1,3,0,2,3,0%,0,0,0,1,,楊盛硯,93,,18,,2,0,1,2,0%,0,2,7.7%,22:05,2,0-2,0%,1,0-1,0%,0,0-0,0%
9,10,1393,,1,5,1,5,18,64.3%,0,0,1,0,,簡浩,222,,21,,2,3,3,6,64.3%,0,1,14.6%,23:13,1,0-1,0%,6,3-6,50%,0,0-0,0%
16,33,2118,〇,1,2,0,5,17,50%,4,2,2,1,,錢肯尼,149,,23,,2,2,1,7,54.6%,3,6,18.8%,35:18,9,3-9,33.3%,3,2-3,66.7%,6,4-6,66.7%
12,30,1654,〇,0,4,0,5,19,55.6%,2,0,2,2,,忻沃克,155,Randall Walko,24,,1,2,3,7,60.7%,2,2,15.4%,27:34,4,2-4,50%,5,2-5,40%,2,2-2,100%
,,,,,,,,,,,,,,,李德威,94,,26,,,,,,,,,,DNP,,,,,,,,,
3,-1,241,,0,0,0,0,2,75%,0,0,0,0,,吳松蔚,95,,30,,0,1,1,0,75%,0,0,21.1%,04:01,0,0-0,0%,2,1-2,50%,0,0-0,0%
31,34,1614,〇,4,5,0,7,39,72.2%,5,1,5,4,,揚科維奇,259,,33,,2,2,1,12,75.1%,10,5,39.9%,26:54,15,10-15,66.7%,3,2-3,66.7%,6,5-6,83.3%
19,4,1237,,5,4,0,3,23,62.5%,4,0,6,6,,布依德,213,,42,,1,1,0,9,69%,6,5,39.5%,20:37,11,6-11,54.5%,1,1-1,100%,4,4-4,100%
2,-3,167,,0,0,0,2,3,50%,0,0,0,0,,鄭子洋,242,,97,,0,0,0,2,50%,1,1,42.1%,02:47,2,1-2,50%,0,0-0,0%,0,0-0,0%
