points,positive,starter,turnover,ast,blk,reb_d,eff,efgp,reb_o,pfoul,name_alt,player_id,name,jersey,stl,reb,tsp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
0,-18,,2,2,0,0,1,0%,3,1,賴廷恩,40,賴廷恩,0,0,3,0%,10:36,0,0-0,0%,0,0-2,0%,0,0-0,0%
11,-7,〇,0,2,0,1,18,75%,1,1,周桂羽,46,周桂羽,8,5,2,79.94%,25:49,4,3-4,75%,4,1-2,50%,2,2-2,100%
0,0,,0,1,0,0,0,0%,0,1,林孟學,49,林孟學,13,0,0,0%,06:36,0,0-0,0%,0,0-1,0%,0,0-0,0%
2,-6,〇,1,1,1,4,1,12.5%,1,1,曾祥鈞,52,曾祥鈞,21,0,5,12.5%,17:59,5,1-5,20%,5,0-3,0%,0,0-0,0%
9,-8,,0,0,0,1,6,50%,0,3,石博恩,53,石博恩,23,1,1,50%,17:32,4,3-4,75%,4,1-5,20%,0,0-0,0%
3,-17,,0,0,0,0,-1,25%,0,0,陳范柏彥,270,陳范柏彥,1,1,0,25%,10:08,3,0-3,0%,3,1-3,33.33%,0,0-0,0%
15,-23,〇,1,5,3,11,29,72.22%,1,1,強森,269,強森,5,3,12,64.43%,36:13,4,2-4,50%,4,3-5,60%,6,2-6,33.33%
0,4,,0,0,0,0,0,0%,0,0,呂宗霖,273,呂宗霖,7,0,0,0%,04:31,0,0-0,0%,0,0-0,0%,0,0-0,0%
4,1,,0,1,0,0,1,20%,0,3,謝宗融,274,謝宗融,15,0,0,34.01%,17:40,5,1-5,20%,5,0-0,0%,2,2-2,100%
15,-3,〇,2,2,0,1,9,50%,1,0,簡廷兆,275,簡廷兆,24,1,2,50.4%,24:49,9,4-9,44.44%,9,2-5,40%,2,1-2,50%
18,3,〇,4,5,0,8,16,41.18%,1,4,辛特力,51,辛特力,17,1,9,45.82%,34:46,10,4-10,40%,10,2-7,28.57%,6,4-6,66.67%
12,-19,,1,2,1,1,11,68.75%,0,0,洪楷傑,235,洪楷傑,11,1,1,67.57%,24:18,2,1-2,50%,2,3-6,50%,2,1-2,50%
0,3,,1,0,0,1,-1,0%,0,0,張文平,239,張文平,10,1,1,0%,09:03,0,0-0,0%,0,0-2,0%,0,0-0,0%
