points,positive,starter,turnover,ast,blk,reb_d,eff,efgp,reb_o,pfoul,name_alt,player_id,name,jersey,stl,reb,tsp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
18,15,,1,5,0,4,23,80%,0,0,林俊吉,90,林俊吉,11,1,4,82.72%,23:22,3,2-3,66.67%,3,4-7,57.14%,2,2-2,100%
4,12,,0,1,1,11,12,20%,2,5,李德威,94,李德威,26,1,13,20%,31:55,8,2-8,25%,8,0-2,0%,0,0-0,0%
0,9,,1,0,0,1,-3,0%,1,0,陳振傑,148,陳振傑,0,0,2,0%,08:52,3,0-3,0%,3,0-1,0%,0,0-0,0%
,,,,,,,,,,,楊盛硯,93,楊盛硯,18,,,,DNP,,,,,,,,,
3,-19,〇,1,1,0,0,4,50%,2,1,吳家駿,215,吳家駿,3,1,2,50%,24:38,0,0-0,0%,0,1-3,33.33%,0,0-0,0%
,,,,,,,,,,,林耀宗,59,林耀宗,7,,,,DNP,,,,,,,,,
11,-11,〇,2,2,0,0,6,55.56%,0,1,盧冠良,278,盧冠良,28,1,0,55.67%,30:33,5,2-5,40%,5,2-4,50%,2,1-2,50%
13,-6,〇,5,1,1,11,10,28.95%,2,4,卡拉曼,349,卡拉曼,35,2,13,31.99%,32:11,14,4-14,28.57%,14,1-5,20%,3,2-3,66.67%
8,0,,1,1,0,0,7,80%,0,0,錢肯尼,149,錢肯尼,23,1,0,80%,17:23,2,1-2,50%,2,2-3,66.67%,0,0-0,0%
3,-8,〇,2,3,1,4,4,18.75%,2,3,吳永盛,229,吳永盛,14,0,6,18.75%,27:21,4,0-4,0%,4,1-4,25%,0,0-0,0%
9,0,,1,2,0,2,10,75%,0,0,簡浩,222,簡浩,21,0,2,84.59%,12:12,0,0-0,0%,0,2-4,50%,3,3-3,100%
18,-12,〇,0,1,3,9,26,44.44%,6,1,吉爾貝克,212,吉爾貝克,34,0,15,46.58%,31:33,18,8-18,44.44%,18,0-0,0%,3,2-3,66.67%
,,,,,,,,,,,王振原,227,王振原,8,,,,DNP,,,,,,,,,
