points,positive,starter,turnover,ast,blk,reb_d,eff,efgp,reb_o,pfoul,name_alt,player_id,name,jersey,stl,reb,tsp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
10,-4,〇,1,3,0,0,9,62.5%,0,2,賴廷恩,40,賴廷恩,0,1,0,62.5%,16:56,4,2-4,50%,4,2-4,50%,0,0-0,0%
8,11,,2,3,0,1,5,33.33%,2,4,周桂羽,46,周桂羽,8,1,3,33.33%,38:10,8,4-8,50%,8,0-4,0%,0,0-0,0%
,,,,,,,,,,,林孟學,49,林孟學,13,,,,DNP,,,,,,,,,
5,-2,〇,1,1,1,5,7,62.5%,0,2,曾祥鈞,52,曾祥鈞,21,0,5,51.23%,18:30,1,1-1,100%,1,1-3,33.33%,2,0-2,0%
4,8,,3,6,0,5,15,50%,3,0,林志傑,48,林志傑,12,1,8,69.44%,20:07,2,1-2,50%,2,0-0,0%,2,2-2,100%
4,0,,0,0,0,2,3,33.33%,1,0,蔡文誠,50,蔡文誠,14,0,3,33.33%,11:25,4,2-4,50%,4,0-2,0%,0,0-0,0%
0,5,,0,1,0,1,1,0%,2,2,石博恩,53,石博恩,23,0,3,0%,18:33,2,0-2,0%,2,0-1,0%,0,0-0,0%
7,-24,〇,1,3,1,6,7,31.82%,0,2,瓊斯,261,瓊斯,2,1,6,29.46%,28:41,7,2-7,28.57%,7,1-4,25%,2,0-2,0%
39,-2,〇,5,3,0,13,40,53.03%,7,3,強森,269,強森,5,2,20,54.05%,53:49,25,16-25,64%,25,1-8,12.5%,7,4-7,57.14%
0,0,,0,0,0,0,0,0%,0,0,謝宗融,274,謝宗融,15,0,0,0%,00:28,0,0-0,0%,0,0-0,0%,0,0-0,0%
16,-3,,1,1,0,3,13,59.09%,0,1,簡廷兆,275,簡廷兆,24,0,3,62.7%,25:33,6,5-6,83.33%,6,1-5,20%,4,3-4,75%
4,-16,〇,1,0,0,1,0,25%,0,0,張宗憲,43,張宗憲,3,2,1,25%,30:50,6,2-6,33.33%,6,0-2,0%,0,0-0,0%
7,7,,0,3,1,2,11,41.67%,2,6,洪楷傑,235,洪楷傑,11,0,4,50.87%,26:58,3,1-3,33.33%,3,1-3,33.33%,2,2-2,100%
