points,positive,starter,turnover,ast,blk,reb_d,eff,efgp,reb_o,pfoul,name_alt,player_id,name,jersey,stl,reb,tsp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
5,-21,〇,3,11,0,8,22,31.25%,4,3,高國豪,84,高國豪,4,3,12,31.25%,43:47,5,1-5,20%,5,1-3,33.33%,0,0-0,0%
1,-18,,4,1,0,1,-4,0%,1,2,李家瑞,79,李家瑞,12,1,2,10.25%,14:12,2,0-2,0%,2,0-2,0%,2,1-2,50%
20,-12,〇,1,0,0,0,14,66.67%,0,3,宋宇軒,75,宋宇軒,5,0,0,66.67%,34:41,15,10-15,66.67%,15,0-0,0%,0,0-0,0%
3,-6,,2,2,0,1,0,20%,1,1,郭少傑,47,郭少傑,24,0,2,25.51%,16:28,3,1-3,33.33%,3,0-2,0%,2,1-2,50%
18,-12,〇,2,5,0,4,15,37.5%,5,4,太樂,357,太樂,3,1,9,39.75%,33:21,14,6-14,42.86%,14,1-6,16.67%,6,3-6,50%
3,-10,,0,0,0,0,-1,30%,0,0,姜廣謙,300,姜廣謙,2,0,0,30%,08:40,3,0-3,0%,3,1-2,50%,0,0-0,0%
10,-18,〇,1,1,0,2,11,50%,0,1,曾柏喻,301,曾柏喻,7,3,2,60.1%,26:01,4,2-4,50%,4,1-3,33.33%,3,3-3,100%
7,-7,,3,2,0,1,7,60%,1,1,伊波卡,302,伊波卡,21,2,2,59.52%,15:33,5,3-5,60%,5,0-0,0%,2,1-2,50%
2,-2,,1,0,0,0,0,33.33%,0,2,呂奇旻,303,呂奇旻,23,1,0,33.33%,08:16,1,1-1,100%,1,0-2,0%,0,0-0,0%
19,-19,〇,3,3,0,7,19,44.44%,3,2,阿提諾,304,阿提諾,31,1,10,48.08%,39:01,16,8-16,50%,16,0-2,0%,4,3-4,75%
