points,positive,starter,turnover,ast,blk,reb_d,eff,efgp,reb_o,pfoul,name_alt,player_id,name,jersey,stl,reb,tsp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
2,-11,,0,1,0,2,6,0%,3,4,成力煥,72,成力煥,21,0,5,56.82%,12:39,0,0-0,0%,0,0-0,0%,4,2-4,50%
7,11,,3,5,0,1,8,41.67%,1,3,陳冠全,67,陳冠全,15,1,2,50.87%,25:08,2,1-2,50%,2,1-4,25%,2,2-2,100%
11,2,〇,4,4,0,3,10,62.5%,0,2,施晉堯,65,施晉堯,28,1,3,61.94%,26:33,4,2-4,50%,4,2-4,50%,2,1-2,50%
0,0,,0,0,0,1,1,0%,0,1,關達祐,58,關達祐,6,1,1,0%,03:36,0,0-0,0%,0,0-1,0%,0,0-0,0%
6,12,,1,1,1,6,14,75%,2,1,丁恩迪,293,丁恩迪,1,0,8,75%,13:42,4,3-4,75%,4,0-0,0%,0,0-0,0%
13,6,,0,2,0,1,15,92.86%,0,1,桑尼,296,桑尼,13,0,1,92.86%,10:49,6,5-6,83.33%,6,1-1,100%,0,0-0,0%
9,6,,0,1,0,0,4,50%,0,0,張鎮衙,297,張鎮衙,27,0,0,50%,15:16,1,0-1,0%,1,3-8,37.5%,0,0-0,0%
5,13,,0,4,0,6,13,50%,0,1,白曜誠,298,白曜誠,30,1,6,50%,19:58,3,1-3,33.33%,3,1-2,50%,0,0-0,0%
12,2,〇,2,1,0,11,18,45.45%,2,6,艾爾斯,342,艾爾斯,4,0,13,50.51%,27:22,10,5-10,50%,10,0-1,0%,2,2-2,100%
10,-3,〇,0,1,0,3,9,50%,1,1,林正,64,林正,25,0,4,54.35%,18:59,5,2-5,40%,5,1-2,50%,5,3-5,60%
4,18,〇,0,3,0,3,11,66.67%,3,1,黃泓瀚,221,黃泓瀚,22,1,6,51.55%,26:58,2,2-2,100%,2,0-1,0%,2,0-2,0%
2,2,,1,0,0,2,2,50%,0,1,陳昱瑞,219,陳昱瑞,00,0,2,50%,06:26,1,1-1,100%,1,0-1,0%,0,0-0,0%
25,12,〇,9,4,0,4,15,58.33%,0,3,盧峻翔,226,盧峻翔,69,4,4,59.3%,32:34,9,3-9,33.33%,9,5-9,55.56%,7,4-7,57.14%
