points,positive,starter,turnover,ast,blk,reb_d,eff,efgp,reb_o,pfoul,name_alt,player_id,name,jersey,stl,reb,tsp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
,,,,,,,,,,,王柏智,89,王柏智,10,,,,DNP,,,,,,,,,
4,12,,0,2,0,2,7,28.57%,3,1,張伯維,45,張伯維,77,1,5,28.57%,21:17,3,2-3,66.67%,3,0-4,0%,0,0-0,0%
14,11,〇,3,2,1,6,16,42.86%,4,3,路易士,359,路易士,5,2,10,44.42%,38:24,14,6-14,42.86%,14,0-0,0%,4,2-4,50%
14,6,〇,2,1,0,7,16,54.55%,1,3,鐵米,280,鐵米,0,0,8,58.92%,30:10,8,6-8,75%,8,0-3,0%,2,2-2,100%
,,,,,,,,,,,林柏豪,281,林柏豪,1,,,,DNP,,,,,,,,,
9,16,,3,2,1,5,12,50%,1,3,張傑瑋,282,張傑瑋,2,2,6,50%,20:44,6,3-6,50%,6,1-3,33.33%,0,0-0,0%
,,,,,,,,,,,林郅為,286,林郅為,18,,,,DNP,,,,,,,,,
25,6,〇,4,16,2,6,37,44.74%,1,4,林書豪,354,林書豪,7,2,7,55.51%,37:38,15,7-15,46.67%,15,1-4,25%,8,8-8,100%
9,7,,2,0,0,7,17,80%,2,2,孫思堯,62,孫思堯,20,3,9,76.53%,24:08,5,4-5,80%,5,0-0,0%,2,1-2,50%
12,12,〇,2,2,0,8,13,66.67%,0,1,呂政儒,208,呂政儒,13,0,8,60.73%,35:16,1,0-1,0%,1,4-8,50%,2,0-2,0%
0,-4,,0,0,0,0,-1,0%,0,0,藍少甫,209,藍少甫,23,0,0,0%,02:49,0,0-0,0%,0,0-1,0%,0,0-0,0%
,,,,,,,,,,,林均濠,206,林均濠,11,,,,DNP,,,,,,,,,
10,-16,〇,2,1,0,2,6,41.67%,2,4,王律翔,211,王律翔,8,1,4,41.67%,29:34,6,2-6,33.33%,6,2-6,33.33%,0,0-0,0%
