points,positive,starter,turnover,ast,blk,reb_d,eff,efgp,reb_o,pfoul,name_alt,player_id,name,jersey,stl,reb,tsp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
2,0,〇,2,2,0,1,-1,20%,0,0,賴廷恩,40,賴廷恩,0,0,1,20%,18:30,2,1-2,50%,2,0-3,0%,0,0-0,0%
6,0,,1,7,0,1,15,60%,4,4,周桂羽,46,周桂羽,8,0,5,60%,21:55,4,3-4,75%,4,0-1,0%,0,0-0,0%
3,0,,0,0,1,2,6,150%,0,2,林孟學,49,林孟學,13,0,2,150%,08:51,0,0-0,0%,0,1-1,100%,0,0-0,0%
21,-2,〇,1,1,0,5,24,63.64%,2,4,曾祥鈞,52,曾祥鈞,21,0,7,74.57%,28:33,10,7-10,70%,10,0-1,0%,7,7-7,100%
18,10,,4,5,0,3,20,72.73%,2,0,林志傑,48,林志傑,12,3,5,70.53%,25:44,2,2-2,100%,2,4-9,44.44%,4,2-4,50%
2,5,,0,0,0,1,2,0%,0,2,蔡文誠,50,蔡文誠,14,0,1,53.19%,02:00,1,0-1,0%,1,0-0,0%,2,2-2,100%
0,-3,,0,0,0,1,2,0%,1,0,石博恩,53,石博恩,23,0,2,0%,04:25,0,0-0,0%,0,0-0,0%,0,0-0,0%
36,14,〇,2,5,3,9,50,81.58%,2,3,強森,269,強森,5,4,11,83.18%,42:00,12,8-12,66.67%,12,5-7,71.43%,6,5-6,83.33%
2,3,,0,2,1,0,5,50%,1,3,謝宗融,274,謝宗融,15,0,1,50%,12:11,2,1-2,50%,2,0-0,0%,0,0-0,0%
0,6,,0,2,1,1,1,0%,0,0,簡廷兆,275,簡廷兆,24,0,1,0%,07:35,1,0-1,0%,1,0-0,0%,2,0-2,0%
11,5,〇,2,3,0,1,8,38.89%,1,1,張宗憲,43,張宗憲,3,0,2,51.12%,27:27,6,2-6,33.33%,6,1-3,33.33%,4,4-4,100%
24,-3,〇,2,2,1,6,20,44.74%,1,1,辛特力,51,辛特力,17,0,7,53.29%,35:27,14,7-14,50%,14,1-5,20%,8,7-8,87.5%
0,-5,,0,1,0,0,1,0%,0,0,洪楷傑,235,洪楷傑,11,0,0,0%,05:22,0,0-0,0%,0,0-0,0%,0,0-0,0%
